"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Bijan Robinson","ATL","rb","5","11","243.5","0","0","0","0","0","0","180.4329","812.6494","7.2104","78.2702","62.4371","455.4569","2.1896","3.1133","1.445","0.3829","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Christian McCaffrey","SF","rb","14","10","220.3","0","0","0","0","0","0","184.0984","783.1559","5.5812","66.5079","54.0609","423.6691","2.3504","3.0726","1.417","0.3828","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Jonathan Taylor","IND","rb","11","10","197.8","0","0","0","0","0","0","193.1279","888.3339","8.6356","39.3268","32.3488","211.1284","0.9485","2.9607","1.3415","0.349","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","De'Von Achane","MIA","rb","12","10","196.8","0","0","0","0","0","0","126.7043","582.4679","4.2782","67.0957","55.3998","407.9493","3.0279","2.3108","1.0835","0.3497","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Josh Jacobs","GB","rb","5","11","182.3","0","0","0","0","0","0","205.1998","881.9745","9.1278","26.9958","22.3027","155.1476","0.5971","3.0348","1.362","0.3527","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Jahmyr Gibbs","DET","rb","8","10","181.6","0","0","0","0","0","0","134.3995","628.5751","6.2539","51.3648","42.4573","296.8916","1.7512","2.2754","1.0522","0.3458","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Puka Nacua","LA","wr","8","10","208.3","0","0","0","0","0","0","6.1265","35.5296","0.321","110.1838","81.8088","943.2206","4.5188","0.9647","0.5232","0.3079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Trey McBride","ARZ","te","8","10","170.4","0","0","0","0","0","0","0","0","0","96.4332","73.463","684.9253","4.657","0","0","0.2394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","James Cook","BUF","rb","7","11","172.9","0","0","0","0","0","0","170.7477","779.0214","7.6637","31.5769","25.6501","181.279","1.1433","2.5858","1.1685","0.343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Ja'Marr Chase","CIN","wr","10","10","198.7","0","0","0","0","0","0","1.5271","8.4608","0.0529","107.7366","76.8557","854.1471","5.9446","0.8491","0.4663","0.2538","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
