"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Jahmyr Gibbs","DET","rb","8","14","290.6","0","0","0","0","0","0","195.535","913.6973","9.1457","92.3141","75.5922","534.188","2.9073","3.4712","1.6193","0.5524","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Bijan Robinson","ATL","rb","5","14","290.1","0","0","0","0","0","0","230.8744","1044.4303","6.8537","96.4678","77.0145","539.9278","2.7158","3.9577","1.8352","0.461","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Christian McCaffrey","SF","rb","14","14","289.1","0","0","0","0","0","0","231.0122","1021.0903","6.9458","90.1143","72.4068","566.0382","3.1574","3.8959","1.8013","0.4969","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","De'Von Achane","MIA","rb","12","14","273","0","0","0","0","0","0","193.4643","880.3429","6.5106","87.4253","72.6019","515.9936","3.9774","3.4121","1.5885","0.4819","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Saquon Barkley","PHI","rb","9","14","267.2","0","0","0","0","0","0","267.3518","1220.1298","10.5836","53.8503","43.7248","304.5315","1.6981","4.0914","1.8531","0.4944","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Bucky Irving","TB","rb","9","14","241.3","0","0","0","0","0","0","231.9291","1018.2549","6.0898","62.1281","55.2695","371.8067","2.1645","3.7339","1.7097","0.4394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Josh Jacobs","GB","rb","5","14","238.8","0","0","0","0","0","0","281.5419","1221.8592","11.3031","33.7431","27.7064","192.165","0.7748","4.1189","1.8451","0.4492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Puka Nacua","LA","wr","8","14","286.3","0","0","0","0","0","0","8.618","51.3302","0.4503","157.2364","113.9101","1297.0356","5.9051","1.3493","0.7316","0.4215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Omarion Hampton","LAC","rb","12","14","221.9","0","0","0","0","0","0","238.2594","995.1302","7.2564","52.8476","43.295","303.5328","1.2831","3.689","1.6752","0.4022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Jonathan Taylor","IND","rb","11","14","219.9","0","0","0","0","0","0","234.6601","1082.3828","8.8769","40.9435","32.9093","216.9152","1.0452","3.5001","1.5801","0.3582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Trey McBride","ARZ","te","8","14","217.5","0","0","0","0","0","0","0","0","0","126.9602","95.7977","892.6921","5.3012","0","0","0.3118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Alvin Kamara","NO","rb","11","14","214.9","0","0","0","0","0","0","227.691","973.5061","6.2404","57.3881","45.2514","306.5259","1.1305","3.5791","1.6291","0.3536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","James Cook","BUF","rb","7","14","212.7","0","0","0","0","0","0","200.7679","919.8698","9.2433","41.9597","34.0118","240.2437","1.5344","3.0788","1.3961","0.4096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Derrick Henry","BLT","rb","7","14","208.3","0","0","0","0","0","0","251.2686","1216.682","10.5314","15.746","13.1594","92.5328","0.5702","3.5401","1.5736","0.3848","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Kyren Williams","LA","rb","8","14","208.3","0","0","0","0","0","0","258.0254","1127.4949","8.283","29.2419","23.8642","167.7132","1.3097","3.7553","1.681","0.3744","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Chuba Hubbard","CAR","rb","14","14","200","0","0","0","0","0","0","225.1375","948.8853","6.5483","45.2054","37.2803","227.7468","1.3755","3.4518","1.5631","0.3321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Chase Brown","CIN","rb","10","14","194.7","0","0","0","0","0","0","246.3852","1022.1212","6.1716","37.6794","30.239","211.1342","1.1056","3.6545","1.6434","0.394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Ashton Jeanty","LV","rb","8","14","194.7","0","0","0","0","0","0","237.6863","966.441","5.8767","42.2496","35.608","231.6419","1.0953","3.5996","1.6266","0.3466","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Kenneth Walker III","SEA","rb","8","14","192","0","0","0","0","0","0","185.3935","782.2636","7.5145","45.5992","38.2422","258.0095","1.1093","2.9187","1.3304","0.346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Ja'Marr Chase","CIN","wr","10","14","244","0","0","0","0","0","0","2.2501","12.41","0.0815","131.5829","94.9257","1065.7073","6.8861","1.061","0.5821","0.3061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Trey Benson","ARZ","rb","8","14","190.6","0","0","0","0","0","0","194.314","856.2391","5.401","48.204","39.8208","269.4707","1.3144","3.0526","1.3906","0.3335","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","George Kittle","SF","te","14","12","181.5","0","0","0","0","0","0","0","0","0","86.5696","64.1986","830.0569","5.6336","0","0","0.2334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Jake Ferguson","DAL","te","10","14","181.5","0","0","0","0","0","0","0","0","0","103.2791","82.3811","719.5824","4.4393","0","0","0.2529","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
