"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Jahmyr Gibbs","DET","rb","8","14","292.6","0","0","0","0","0","0","195.8499","917.055","9.1602","93.2417","76.5074","539.1949","2.9379","3.4735","1.6204","0.5557","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Bijan Robinson","ATL","rb","5","14","291.3","0","0","0","0","0","0","229.4999","1037.6793","6.796","97.8279","78.2758","548.021","2.7433","3.9477","1.8312","0.4631","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Christian McCaffrey","SF","rb","14","14","289","0","0","0","0","0","0","230.4617","1020.6509","6.9316","90.0408","72.3536","566.6734","3.155","3.8968","1.8017","0.4964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","De'Von Achane","MIA","rb","12","14","282.3","0","0","0","0","0","0","208.5614","949.9352","7.0167","87.1464","72.3372","515.3633","3.9434","3.6005","1.6713","0.5009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Saquon Barkley","PHI","rb","9","14","268.6","0","0","0","0","0","0","268.1037","1225.7542","10.6133","54.1762","44.0496","307.8432","1.7094","4.1008","1.8572","0.4962","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Trey McBride","ARZ","te","8","14","230.9","0","0","0","0","0","0","0","0","0","134.195","101.6056","940.6784","5.7644","0","0","0.3384","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Bucky Irving","TB","rb","9","14","241.6","0","0","0","0","0","0","231.2492","1019.3055","6.0628","62.4887","55.6526","373.8489","2.1381","3.7274","1.707","0.4409","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Omarion Hampton","LAC","rb","12","14","221.8","0","0","0","0","0","0","238.1844","995.1727","7.2377","52.8529","43.3008","303.1936","1.3005","3.6881","1.6748","0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Derrick Henry","BLT","rb","7","14","221","0","0","0","0","0","0","251.1963","1216.0297","10.5311","23.389","19.6169","139.1455","0.8534","3.6088","1.6113","0.4124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Josh Jacobs","GB","rb","5","14","219.6","0","0","0","0","0","0","282.3846","1230.6621","11.3307","20.4583","16.7632","117.2219","0.4696","3.9998","1.7799","0.4089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Jonathan Taylor","IND","rb","11","14","219.4","0","0","0","0","0","0","232.2362","1075.2483","8.7783","41.4959","33.4448","218.4841","1.0587","3.5014","1.5807","0.3574","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Ja'Marr Chase","CIN","wr","10","14","263.1","0","0","0","0","0","0","2.2465","12.3965","0.0836","142.1552","102.6888","1147.5449","7.4091","1.1373","0.6243","0.3299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Puka Nacua","LA","wr","8","14","259.4","0","0","0","0","0","0","8.6546","51.5276","0.4522","141.7833","102.7889","1171.691","5.3616","1.2251","0.663","0.3835","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
