"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"302","Jordan Whittington","LA","wr","8","10","35.1","0","0","0","0","0","0","0","0","0","19.7858","14.2977","155.9186","0.7768","0","0","0.0547","311.2346","0.0795","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"303","Luther Burden III","CHI","wr","5","10","33.6","0","0","0","0","0","0","0","0","0","20.2749","13.9987","146.529","0.7771","0","0","0.0475","95.8656","0.0245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"304","Dylan Laube","LV","rb","8","10","9.9","0","0","0","0","0","0","1.915","7.4955","0.0477","5.2526","4.3543","30.3679","0.1382","0.0728","0.0373","0.0144","425.9164","0.1088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"305","Noah Brown","WAS","wr","12","7","33","0","0","0","0","0","0","0","0","0","19.7019","12.5286","153.3934","0.8299","0","0","0.0582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"306","Trevor Etienne","CAR","rb","14","9","9.5","0","0","0","0","0","0","2.6981","11.2621","0.0661","4.5177","3.6131","23.3768","0.1191","0.0754","0.0375","0.0128","510.6717","0.2311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"307","Ameer Abdullah","IND","rb","11","9","8.8","0","0","0","0","0","0","9.5136","41.5143","0.3511","1.7342","1.395","9.5166","0.0562","0.1437","0.0649","0.0174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"308","Keaton Mitchell","BLT","rb","7","10","7.8","0","0","0","0","0","0","8.8022","39.798","0.2822","1.3421","1.1249","7.9716","0.0415","0.1312","0.0591","0.0167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"309","Jimmy Horn Jr.","CAR","wr","14","9","30.5","0","0","0","0","0","0","0","0","0","19.2755","12.0218","135.5566","0.8107","0","0","0.0434","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"310","Dont'e Thornton Jr.","LV","wr","8","10","30.4","0","0","0","0","0","0","0","0","0","19.1566","10.953","145.39","0.8014","0","0","0.0449","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"311","Zavier Scott","MIN","rb","6","10","6.8","0","0","0","0","0","0","4.1585","16.8762","0.1063","3.0845","2.4454","16.0934","0.0842","0.0826","0.0393","0.0116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"312","Mike Evans","TB","wr","9","3","29.6","0","0","0","0","0","0","0","0","0","16.12","10.2524","128.0012","1.0696","0","0","0.0469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"313","Jaret Patterson","LAC","rb","12","2","6.1","0","0","0","0","0","0","6.8972","28.8861","0.1731","1.4241","1.1601","8.2218","0.0394","0.1058","0.0479","0.0118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"314","Adam Prentice","DEN","rb","12","9","6","0","0","0","0","0","0","6.4623","27.0927","0.1797","1.5733","1.2493","8.3447","0.0406","0.1009","0.0459","0.0119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"315","Tre Harris","LAC","wr","12","9","29.4","0","0","0","0","0","0","0","0","0","17.4142","11.7385","128.8038","0.7882","0","0","0.0448","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"316","Beaux Collins","NYG","wr","14","9","29.3","0","0","0","0","0","0","0","0","0","17.6656","10.7035","132.0162","0.8809","0","0","0.0478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317","Jaylen Wright","MIA","rb","12","9","5.8","0","0","0","0","0","0","1.1125","4.7323","0.0299","3.2062","2.63","19.1283","0.1033","0.0434","0.0223","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
