"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Bijan Robinson","ATL","rb","5","18","364.3","0","0","0","0","0","0","273.309","1200.7742","9.0844","124.8068","99.4996","731.0576","3.3984","4.735","2.205","0.588","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Christian McCaffrey","SF","rb","14","16","353","0","0","0","0","0","0","284.8716","1211.474","8.4218","110.343","89.662","705.451","4.0608","4.8192","2.2284","0.6192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Puka Nacua","LA","wr","8","18","375.8","0","0","0","0","0","0","11.3594","65.0046","0.5336","197.6244","146.8134","1712.3154","8.1404","1.7362","0.941","0.5574","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Jahmyr Gibbs","DET","rb","8","18","328.9","0","0","0","0","0","0","241.748","1138.7906","11.2956","92.4516","76.6678","540.9326","3.1714","4.096","1.8944","0.6272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","De'Von Achane","MIA","rb","12","16","326.2","0","0","0","0","0","0","222.72","1019.0062","7.0834","108.873","88.4062","651.1638","5.1278","3.9652","1.851","0.5818","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Trey McBride","ARZ","te","8","18","304.8","0","0","0","0","0","0","0","0","0","171.7134","130.0924","1219.8178","8.6462","0","0","0.4252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Jaxon Smith-Njigba","SEA","wr","8","18","357.8","0","0","0","0","0","0","5.5064","30.0508","0.1658","195.048","140.7104","1603.6242","8.8796","1.5912","0.8698","0.6016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Ja'Marr Chase","CIN","wr","10","16","354.8","0","0","0","0","0","0","2.3604","13.706","0.0714","194.9392","138.3178","1547.5076","10.1096","1.523","0.837","0.4676","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Jonathan Taylor","IND","rb","11","16","308.8","0","0","0","0","0","0","289.4592","1334.106","13.172","64.8686","53.732","349.564","1.766","4.5214","2.055","0.572","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Josh Jacobs","GB","rb","5","18","300.4","0","0","0","0","0","0","310.7804","1343.0556","14.049","54.5756","45.6532","319.168","1.2254","4.6952","2.1206","0.5672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","James Cook","BUF","rb","7","18","297.4","0","0","0","0","0","0","296.876","1383.6522","13.4194","50.6502","41.153","293.6996","1.8098","4.4588","2.0112","0.5808","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Drake London","ATL","wr","5","18","338.3","0","0","0","0","0","0","0","0","0","199.819","129.3756","1479.4776","10.0052","0","0","0.4856","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Saquon Barkley","PHI","rb","9","18","291.7","0","0","0","0","0","0","293.9622","1351.4754","11.6432","56.1572","45.9022","319.425","1.9584","4.4706","2.0222","0.5832","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Kyren Williams","LA","rb","8","18","279.7","0","0","0","0","0","0","295.3464","1264.8796","9.5098","58.0876","46.4048","332.1722","3.262","4.4946","2.0334","0.522","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Bucky Irving","TB","rb","9","16","279.5","0","0","0","0","0","0","259.277","1132.975","7.0472","74.134","64.7328","461.0404","2.6464","4.2044","1.9278","0.5146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Brock Bowers","LV","te","8","18","258.2","0","0","0","0","0","0","0","0","0","141.6282","108.5904","1070.1154","6.9894","0","0","0.322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
