"RankRk.","PositionPos.","Name","Team"
"1","RB","Bijan Robinson","Falcons"
"2","RB","Christian McCaffrey","49ers"
"3","WR","Puka Nacua","Rams"
"4","RB","Jonathan Taylor","Colts"
"5","RB","Jahmyr Gibbs","Lions"
"6","WR","Justin Jefferson","Vikings"
"7","WR","Ja'Marr Chase","Bengals"
"8","WR","Amon-Ra St. Brown","Lions"
"9","RB","De'Von Achane","Dolphins"
"10","WR","Jaxon Smith-Njigba","Seahawks"
"11","RB","James Cook III","Bills"
"12","RB","Josh Jacobs","Packers"
"13","RB","Ashton Jeanty","Raiders"
"14","WR","Drake London","Falcons"
"15","RB","Saquon Barkley","Eagles"
"16","WR","CeeDee Lamb","Cowboys"
"17","WR","Rashee Rice","Chiefs"
"18","WR","Garrett Wilson","Jets"
"19","WR","Nico Collins","Texans"
"20","RB","Derrick Henry","Ravens"
"21","QB","Josh Allen","Bills"
"22","RB","Kyren Williams","Rams"
"23","RB","Bucky Irving","Buccaneers"
"24","TE","Trey McBride","Cardinals"
"25","QB","Jayden Daniels","Commanders"
"26","QB","Lamar Jackson","Ravens"
"27","WR","Emeka Egbuka","Buccaneers"
"28","WR","Rome Odunze","Bears"
"29","RB","Javonte Williams","Cowboys"
"30","QB","Jalen Hurts","Eagles"
"31","WR","Brian Thomas Jr.","Jaguars"
"32","RB","Quinshon Judkins","Browns"
"33","WR","Tetairoa McMillan","Panthers"
"34","RB","Omarion Hampton","Chargers"
"35","TE","Tyler Warren","Colts"
"36","WR","Davante Adams","Rams"
"37","QB","Patrick Mahomes","Chiefs"
"38","WR","A.J. Brown","Eagles"
"39","RB","Cam Skattebo","Giants"
"40","RB","Jordan Mason","Vikings"
"41","TE","Brock Bowers","Raiders"
"42","WR","Deebo Samuel","Commanders"
"43","TE","George Kittle","49ers"
"44","WR","George Pickens","Cowboys"
"45","WR","Ladd McConkey","Chargers"
"46","RB","Kenneth Walker III","Seahawks"
"47","WR","D.K. Metcalf","Steelers"
"48","RB","Travis Etienne Jr.","Jaguars"
"49","WR","Marvin Harrison Jr.","Cardinals"
"50","WR","Jaylen Waddle","Dolphins"
"51","RB","Jaylen Warren","Steelers"
"52","RB","Breece Hall","Jets"
"53","WR","Chris Olave","Saints"
"54","WR","Zay Flowers","Ravens"
"55","RB","J.K. Dobbins","Broncos"
"56","WR","Courtland Sutton","Broncos"
"57","WR","Quentin Johnston","Chargers"
"58","WR","Terry McLaurin","Commanders"
"59","RB","Chase Brown","Bengals"
"60","WR","Tee Higgins","Bengals"
"61","QB","Baker Mayfield","Buccaneers"
