"RankRk.","PositionPos.","Name","Team"
"62","WR","Mike Evans","Buccaneers"
"63","RB","Chuba Hubbard","Panthers"
"64","WR","Michael Pittman Jr.","Colts"
"65","TE","Tucker Kraft","Packers"
"66","TE","Jake Ferguson","Cowboys"
"67","WR","D.J. Moore","Bears"
"68","RB","TreVeyon Henderson","Patriots"
"69","RB","D'Andre Swift","Bears"
"70","RB","Jacory Croskey-Merritt","Commanders"
"71","RB","Alvin Kamara","Saints"
"72","WR","Ricky Pearsall","49ers"
"73","WR","Jordan Addison","Vikings"
"74","TE","Sam LaPorta","Lions"
"75","WR","Xavier Worthy","Chiefs"
"76","QB","Caleb Williams","Bears"
"77","WR","DeVonta Smith","Eagles"
"78","RB","David Montgomery","Lions"
"79","RB","Woody Marks","Texans"
"80","QB","Justin Herbert","Chargers"
"81","WR","Chris Godwin Jr.","Buccaneers"
"82","RB","Rico Dowdle","Panthers"
"83","WR","Jameson Williams","Lions"
"84","QB","Drake Maye","Patriots"
"85","TE","Dalton Kincaid","Bills"
"86","WR","Travis Hunter","Jaguars"
"87","RB","Tony Pollard","Titans"
"88","WR","Jakobi Meyers","Raiders"
"89","WR","Wan'Dale Robinson","Giants"
"90","RB","Rachaad White","Buccaneers"
"91","WR","Keenan Allen","Chargers"
"92","RB","Isiah Pacheco","Chiefs"
"93","WR","Stefon Diggs","Patriots"
"94","QB","Jordan Love","Packers"
"95","TE","T.J. Hockenson","Vikings"
"96","WR","Matthew Golden","Packers"
"97","TE","Darren Waller","Dolphins"
"98","RB","R.J. Harvey","Broncos"
"99","QB","Brock Purdy","49ers"
"100","QB","Jared Goff","Lions"
"101","RB","Rhamondre Stevenson","Patriots"
"102","TE","Dallas Goedert","Eagles"
"103","RB","Zach Charbonnet","Seahawks"
"104","QB","Justin Fields","Jets"
"105","WR","Keon Coleman","Bills"
"106","RB","Kimani Vidal","Chargers"
"107","QB","Jaxson Dart","Giants"
"108","WR","Jauan Jennings","49ers"
"109","WR","Khalil Shakir","Bills"
"110","QB","Bo Nix","Broncos"
"111","TE","Harold Fannin Jr.","Browns"
"112","RB","Bam Knight","Cardinals"
"113","RB","Nick Chubb","Texans"
"114","WR","Cooper Kupp","Seahawks"
"115","RB","Trey Benson","Cardinals"
"116","TE","Kyle Pitts Sr.","Falcons"
"117","TE","Hunter Henry","Patriots"
"118","WR","Jerry Jeudy","Browns"
"119","WR","Calvin Ridley","Titans"
"120","WR","Tre Tucker","Raiders"
"121","TE","Travis Kelce","Chiefs"
"122","WR","Romeo Doubs","Packers"
"123","QB","Daniel Jones","Colts"
"124","WR","Kayshon Boutte","Patriots"
"125","WR","Kendrick Bourne","49ers"
"126","RB","Kendre Miller","Saints"
"127","WR","Elic Ayomanor","Titans"
"128","WR","Josh Downs","Colts"
"129","RB","Aaron Jones Sr.","Vikings"
"130","RB","Tyjae Spears","Titans"
"131","QB","Kyler Murray","Cardinals"
"132","QB","Dak Prescott","Cowboys"
"133","RB","Kenneth Gainwell","Steelers"
"134","WR","Darius Slayton","Giants"
"135","WR","Alec Pierce","Colts"
"136","WR","Darnell Mooney","Falcons"
"137","QB","Joe Flacco","Bengals"
"138","RB","Tyler Allgeier","Falcons"
"139","RB","Isaiah Davis","Jets"
"140","WR","Hollywood Brown","Chiefs"
"141","WR","Troy Franklin","Broncos"
"142","TE","Mark Andrews","Ravens"
"143","WR","Rashid Shaheed","Saints"
"144","WR","Isaiah Bond","Browns"
"145","RB","Michael Carter","Cardinals"
"146","RB","Kareem Hunt","Chiefs"
"147","RB","Bhayshul Tuten","Jaguars"
"148","TE","Mason Taylor","Jets"
"149","RB","Hassan Haskins","Chargers"
"150","WR","Brandon Aiyuk","49ers"
"151","WR","Christian Kirk","Texans"
"152","RB","Blake Corum","Rams"
"153","RB","Keaton Mitchell","Ravens"
"154","WR","Jalen Coker","Panthers"
"155","RB","Tahj Brooks","Bengals"
"156","WR","Christian Watson","Packers"
"157","RB","Dylan Sampson","Browns"
"158","WR","Luther Burden III","Bears"
"159","TE","David Njoku","Browns"
"160","RB","Kyle Monangai","Bears"
"161","QB","Matthew Stafford","Rams"
"162","WR","Calvin Austin III","Steelers"
"163","TE","Oronde Gadsden","Chargers"
"164","RB","Tyrone Tracy Jr.","Giants"
"165","RB","Brian Robinson Jr.","49ers"
"166","TE","Cade Otton","Buccaneers"
"167","RB","Ollie Gordon II","Dolphins"
"168","RB","Jaydon Blue","Cowboys"
"169","RB","Sean Tucker","Buccaneers"
"170","RB","Chris Rodriguez Jr.","Commanders"
"171","RB","Brashard Smith","Chiefs"
"172","RB","Raheem Mostert","Raiders"
"173","WR","Dyami Brown","Jaguars"
"174","WR","Marvin Mims Jr.","Broncos"
"175","WR","Tory Horton","Seahawks"
"176","RB","Zavier Scott","Vikings"
"177","WR","DeAndre Hopkins","Ravens"
"178","WR","Malik Washington","Dolphins"
"179","WR","Rashod Bateman","Ravens"
"180","WR","Allen Lazard","Jets"
"181","RB","D.J. Giddens","Colts"
"182","RB","Emanuel Wilson","Packers"
"183","WR","Pat Bryant","Broncos"
"184","WR","Dontayvion Wicks","Packers"
"185","RB","Will Shipley","Eagles"
"186","WR","Jayden Higgins","Texans"
"187","WR","Xavier Legette","Panthers"
"188","RB","Ty Johnson","Bills"
"189","WR","Tyquan Thornton","Chiefs"
"190","WR","Isaac TeSlaa","Lions"
"191","WR","Olamide Zaccheaus","Bears"
"192","WR","Jayden Reed","Packers"
