Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
98,"Dalton Kincaid","BUF","TE",8,7,122,148.25,3
99,"Rhamondre Stevenson","NE","RB",34,14,132.4,126.82,3
100,"Nick Chubb","HOU","RB",35,6,143.4,112.26,3
101,"Brock Purdy","SF","QB",11,14,121.3,273.1,3
102,"Isiah Pacheco","KC","RB",36,10,108.2,164.92,14
103,"Jordan Love","GB","QB",12,5,129.8,244.4,2
104,"Woody Marks","HOU","RB",37,6,169.5,54.17,2
105,"Dallas Goedert","PHI","TE",9,9,139.9,144.3,2
106,"Bhayshul Tuten","JAX","RB",38,8,152.4,105.5,3
107,"Drake Maye","NE","QB",13,14,128.8,239.53,3
108,"Stefon Diggs","NE","WR",48,14,117.8,181.86,10
109,"Jake Ferguson","DAL","TE",10,10,121.6,144.6,3
110,"Jerry Jeudy","CLE","WR",49,9,105,180.27,12
111,"Daniel Jones","IND","QB",14,11,143.2,235.37,1
112,"Harold Fannin Jr.","CLE","TE",11,9,168.8,95.37,1
113,"Troy Franklin","DEN","WR",50,12,168.6,101.94,1
114,"Juwan Johnson","NO","TE",12,11,153.9,102.65,"N/A"
115,"Kyle Pitts","ATL","TE",13,5,155.5,134.53,2
116,"Khalil Shakir","BUF","WR",51,7,135.4,174.2,6
117,"Dylan Sampson","CLE","RB",39,9,165.6,113.08,3
118,"Luther Burden III","CHI","WR",52,5,168,120.54,3
119,"Hunter Henry","NE","TE",14,14,150.1,131.58,2
120,"Bo Nix","DEN","QB",15,12,103.8,259.03,5
121,"Mark Andrews","BAL","TE",15,7,99.1,151.39,5
122,"Darnell Mooney","ATL","WR",53,5,148.4,175.17,3
123,"Wan'Dale Robinson","NYG","WR",54,14,156.8,150.09,2
124,"Travis Kelce","KC","TE",16,10,78.5,154.53,7
125,"Elic Ayomanor","TEN","WR",55,10,168,90.49,1
126,"Tre Tucker","LV","WR",56,8,164.2,116.25,"N/A"
127,"David Njoku","CLE","TE",17,9,106.5,152.1,5
128,"Marquise Brown","KC","WR",57,10,161.1,143.33,3
129,"Geno Smith","LV","QB",16,8,168.4,239.91,1
130,"Michael Penix Jr.","ATL","QB",17,5,167.7,239.96,1
131,"Trevor Lawrence","JAX","QB",18,8,167.2,260.47,3
132,"Cooper Kupp","SEA","WR",58,8,128.2,167.71,7
133,"Tyrone Tracy","NYG","RB",40,14,126,164.72,8
134,"Kayshon Boutte","NE","WR",59,14,169.6,57.76,"N/A"
135,"Brandon Aiyuk","SF","WR",60,14,166.8,152.59,3
136,"Chris Rodriguez Jr.","WAS","RB",41,12,169.9,96.85,2
137,"Christian Kirk","HOU","WR",61,6,168.4,146.23,4
138,"Calvin Austin III","PIT","WR",62,5,169,130.6,1
139,"Aaron Jones","MIN","RB",42,6,116.1,165.27,8
140,"Tahj Brooks","CIN","RB",43,10,169.9,94.86,2
