Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
1,"Bijan Robinson","ATL","RB",1,5,4.1,314.47,54
2,"Christian McCaffrey","SF","RB",2,14,6.4,282.45,44
3,"Puka Nacua","LAR","WR",1,8,5.8,289.68,40
4,"Jahmyr Gibbs","DET","RB",3,8,7.1,312.28,51
5,"Jonathan Taylor","IND","RB",4,11,14.9,221.85,33
6,"Justin Jefferson","MIN","WR",2,6,6.6,299.2,49
7,"Ja'Marr Chase","CIN","WR",3,10,5.4,333.25,59
8,"James Cook","BUF","RB",5,7,23.3,218.81,23
9,"Amon-Ra St. Brown","DET","WR",4,8,9.8,265.71,43
10,"De'Von Achane","MIA","RB",6,12,17.1,270.2,36
11,"Jaxon Smith-Njigba","SEA","WR",5,8,28.7,220.42,30
12,"Saquon Barkley","PHI","RB",7,9,6.4,291.45,46
13,"Garrett Wilson","NYJ","WR",6,9,39.3,247.63,27
14,"Josh Jacobs","GB","RB",8,5,21.6,251.32,32
15,"Ashton Jeanty","LV","RB",9,8,15.5,277.76,41
16,"Drake London","ATL","WR",7,5,26.8,258.37,44
17,"CeeDee Lamb","DAL","WR",8,10,15.6,273.77,51
18,"Nico Collins","HOU","WR",9,6,21.2,274.47,45
19,"Derrick Henry","BAL","RB",10,7,24.2,265.8,37
20,"Josh Allen","BUF","QB",1,7,15,321.45,21
21,"Omarion Hampton","LAC","RB",11,12,42.4,221.39,27
22,"Rashee Rice","KC","WR",10,10,98.7,207.59,14
23,"Kyren Williams","LAR","RB",12,8,36.4,227.46,29
24,"Bucky Irving","TB","RB",13,9,33.5,273.45,37
25,"Trey McBride","ARI","TE",1,8,26.7,240.73,26
26,"Jayden Daniels","WAS","QB",2,12,35.9,341.5,16
27,"Lamar Jackson","BAL","QB",3,7,33.1,319.79,21
28,"Emeka Egbuka","TB","WR",11,9,61.3,197.96,18
29,"Rome Odunze","CHI","WR",12,5,70,196.03,11
30,"Javonte Williams","DAL","RB",14,10,85.6,134.6,5
31,"Jalen Hurts","PHI","QB",4,9,27.7,316.82,14
32,"Quinshon Judkins","CLE","RB",15,9,114.2,102.87,3
33,"Davante Adams","LAR","WR",13,8,36.1,223.45,23
34,"A.J. Brown","PHI","WR",14,9,25.2,255.81,32
35,"Brian Thomas Jr.","JAX","WR",15,8,28.1,272.1,45
36,"Tyler Warren","IND","TE",2,11,86.8,159.06,8
37,"Tetairoa McMillan","CAR","WR",16,14,74.8,215.83,23
38,"Brock Bowers","LV","TE",3,8,29.4,219.77,30
39,"Kenneth Walker III","SEA","RB",16,8,63.7,221.44,22
40,"Marvin Harrison Jr.","ARI","WR",17,8,64.3,234.06,25
41,"George Kittle","SF","TE",4,14,55.8,221.66,18
42,"Jordan Mason","MIN","RB",17,6,129.6,180.09,9
43,"Patrick Mahomes","KC","QB",5,10,51.7,283.47,9
44,"Deebo Samuel","WAS","WR",18,12,108.5,193.49,11
45,"Jaylen Warren","PIT","RB",18,5,118.1,168.08,8
46,"Cam Skattebo","NYG","RB",19,14,88.1,132.4,4
47,"Zay Flowers","BAL","WR",19,7,72.5,202.83,14
48,"Ladd McConkey","LAC","WR",20,12,47.5,241.37,37
49,"Chuba Hubbard","CAR","RB",20,14,67.8,201.83,19
50,"D.K. Metcalf","PIT","WR",21,5,48.6,204.06,21
51,"Jaylen Waddle","MIA","WR",22,12,88.8,202.46,17
52,"J.K. Dobbins","DEN","RB",21,12,110.6,133.99,7
53,"George Pickens","DAL","WR",23,10,64,197,22
54,"Breece Hall","NYJ","RB",22,9,72.4,163.79,22
55,"Chris Olave","NO","WR",24,11,115.5,204.98,10
56,"Travis Etienne Jr.","JAX","RB",23,8,108,112.51,7
57,"Courtland Sutton","DEN","WR",25,12,76.9,199.52,22
58,"Quentin Johnston","LAC","WR",26,12,112.2,136.12,1
59,"Terry McLaurin","WAS","WR",27,12,64.9,232.47,19
60,"Chase Brown","CIN","RB",24,10,41.7,249.99,40
61,"Tee Higgins","CIN","WR",28,10,43.2,252.8,28
62,"Baker Mayfield","TB","QB",6,9,62.5,278.81,5
63,"Mike Evans","TB","WR",29,9,84.5,221.59,22
64,"Michael Pittman Jr.","IND","WR",30,11,106,177.89,7
65,"Tucker Kraft","GB","TE",5,5,112,158.37,4
66,"Jake Ferguson","DAL","TE",6,10,93.8,144.6,3
67,"DJ Moore","CHI","WR",31,5,87,204.97,20
68,"DeVonta Smith","PHI","WR",32,9,93,204.4,17
69,"TreVeyon Henderson","NE","RB",25,14,73.9,167.74,23
70,"D'Andre Swift","CHI","RB",26,5,84.5,202.91,13
71,"Jacory Croskey-Merritt","WAS","RB",27,12,123.7,147.62,8
72,"Alvin Kamara","NO","RB",28,11,54.8,215.85,18
73,"Ricky Pearsall","SF","WR",33,14,120.4,194.59,17
74,"Xavier Worthy","KC","WR",34,10,63.5,205.29,20
75,"Tony Pollard","TEN","RB",29,10,105.8,167.07,15
76,"Jordan Addison","MIN","WR",35,6,124.4,180.04,8
77,"Caleb Williams","CHI","QB",7,5,127.8,253.33,3
