Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
78,"Jakobi Meyers","LV","WR",36,8,116.2,192.57,10
79,"David Montgomery","DET","RB",30,8,86.4,162.38,9
80,"Travis Hunter","JAX","WR",37,8,97.3,222.74,12
81,"Justin Fields","NYJ","QB",8,9,129.8,273.22,4
82,"Sam LaPorta","DET","TE",7,8,56.8,178.83,9
83,"Woody Marks","HOU","RB",31,6,153.2,54.17,2
84,"Chris Godwin","TB","WR",38,9,134.7,146.96,6
85,"RJ Harvey","DEN","RB",32,12,115,204.47,17
86,"Jameson Williams","DET","WR",39,8,100.4,205.66,19
87,"Brock Purdy","SF","QB",9,14,124.7,273.1,3
88,"Dalton Kincaid","BUF","TE",8,7,132,148.25,3
89,"Justin Herbert","LAC","QB",10,12,100.6,249.9,2
90,"Wan'Dale Robinson","NYG","WR",40,14,156.2,150.09,2
91,"Keenan Allen","LAC","WR",41,12,120,139.95,3
92,"Stefon Diggs","NE","WR",42,14,112.6,181.86,10
93,"Jordan Love","GB","QB",11,5,130.4,244.4,2
94,"Jared Goff","DET","QB",12,8,142.7,250.99,3
95,"T.J. Hockenson","MIN","TE",9,6,82.9,186.84,8
96,"Rachaad White","TB","RB",33,9,155.2,100.22,3
97,"Jauan Jennings","SF","WR",43,14,139.5,182.25,6
98,"Drake Maye","NE","QB",13,14,115.1,239.53,3
99,"Zach Charbonnet","SEA","RB",34,8,149.5,147.59,10
100,"Darren Waller","MIA","TE",10,12,157.5,106.17,1
101,"Keon Coleman","BUF","WR",44,7,133.1,169.86,6
102,"Matthew Golden","GB","WR",45,5,115.7,188.23,11
103,"Dallas Goedert","PHI","TE",11,9,131.4,144.3,2
104,"Michael Carter","ARI","RB",35,8,169.3,0,"N/A"
105,"Hunter Henry","NE","TE",12,14,137.8,131.58,2
106,"Rico Dowdle","CAR","RB",36,14,165.8,98.3,2
107,"Khalil Shakir","BUF","WR",46,7,130.5,174.2,6
108,"Bo Nix","DEN","QB",14,12,102,259.03,5
109,"Rhamondre Stevenson","NE","RB",37,14,133.9,126.82,3
110,"Isiah Pacheco","KC","RB",38,10,108,164.92,14
111,"Bhayshul Tuten","JAX","RB",39,8,154.9,105.5,3
112,"Nick Chubb","HOU","RB",40,6,147.2,112.26,3
113,"Trey Benson","ARI","RB",41,8,158,100.77,5
114,"Kyle Pitts","ATL","TE",13,5,147.4,134.53,2
115,"Calvin Ridley","TEN","WR",47,10,101.8,196.35,21
116,"Harold Fannin Jr.","CLE","TE",14,9,169.3,95.37,1
117,"Cooper Kupp","SEA","WR",48,8,128.5,167.71,7
118,"Jaxson Dart","NYG","QB",15,14,155,51.88,1
119,"Troy Franklin","DEN","WR",49,12,169.3,101.94,1
120,"Jerry Jeudy","CLE","WR",50,9,105.5,180.27,12
121,"Daniel Jones","IND","QB",16,11,156.1,235.37,1
122,"Elic Ayomanor","TEN","WR",51,10,168.6,90.49,1
123,"Brenton Strange","JAX","TE",15,8,166.8,137.42,2
124,"Mark Andrews","BAL","TE",16,7,105.6,151.39,5
125,"Darius Slayton","NYG","WR",52,14,168.2,91.18,1
126,"Darnell Mooney","ATL","WR",53,5,149.6,175.17,3
127,"Josh Downs","IND","WR",54,11,144.8,192.65,5
128,"Tre Tucker","LV","WR",55,8,167.5,116.25,"N/A"
129,"Travis Kelce","KC","TE",17,10,83.8,154.53,7
130,"Kendre Miller","NO","RB",42,11,168.8,66.24,1
131,"Marquise Brown","KC","WR",56,10,160.8,143.33,3
132,"Aaron Jones","MIN","RB",43,6,116,165.27,8
133,"Romeo Doubs","GB","WR",57,5,154.3,141.44,2
134,"Kyler Murray","ARI","QB",17,8,116.3,257.67,3
135,"Alec Pierce","IND","WR",58,11,169.6,122.65,1
136,"Kenneth Gainwell","PIT","RB",44,5,162.9,95.24,"N/A"
137,"Luther Burden III","CHI","WR",59,5,168.9,120.54,3
138,"Tyler Allgeier","ATL","RB",45,5,165.5,100.61,3
139,"Tyjae Spears","TEN","RB",46,10,169.5,97.32,3
140,"Blake Corum","LAR","RB",47,8,169.1,78.06,1
141,"Rashid Shaheed","NO","WR",60,11,148,149.72,2
142,"Jake Browning","CIN","QB",18,10,169.7,30,"N/A"
143,"Brandon Aiyuk","SF","WR",61,14,166.6,152.59,3
144,"Hassan Haskins","LAC","RB",48,12,169.7,53.32,"N/A"
145,"Christian Kirk","HOU","WR",62,6,168.7,146.23,4
146,"Calvin Austin III","PIT","WR",63,5,169.5,130.6,1
147,"David Njoku","CLE","TE",18,9,110.1,152.1,5
148,"Brashard Smith","KC","RB",49,10,169.8,72.4,2
149,"Kyle Monangai","CHI","RB",50,5,169.8,101.69,1
150,"Isaiah Davis","NYJ","RB",51,9,170,99.64,"N/A"
151,"Isaiah Bond","CLE","WR",64,9,169.7,86.79,1
152,"Keaton Mitchell","BAL","RB",52,7,170,101.93,1
153,"Jalen Coker","CAR","WR",65,14,169.5,99.77,1
154,"Mason Taylor","NYJ","TE",19,9,169.2,126.86,1
155,"Kimani Vidal","LAC","RB",53,12,170,0,1
156,"Tahj Brooks","CIN","RB",54,10,170,94.86,2
157,"Matthew Stafford","LAR","QB",19,8,141.3,227.7,1
158,"Kayshon Boutte","NE","WR",66,14,169.5,57.76,"N/A"
159,"Tyrone Tracy","NYG","RB",55,14,126.8,164.72,8
160,"Brian Robinson","SF","RB",56,14,null,93.99,2
161,"Colston Loveland","CHI","TE",20,5,159.4,148.24,3
162,"Kareem Hunt","KC","RB",57,10,168.2,80.5,1
163,"Ollie Gordon II","MIA","RB",58,12,168.8,64.94,4
164,"Dak Prescott","DAL","QB",20,10,115.8,241.56,7
165,"Sean Tucker","TB","RB",59,9,169.7,35.45,2
166,"Jaydon Blue","DAL","RB",60,10,165.8,98.88,4
167,"DJ Giddens","IND","RB",61,11,169.6,89.46,1
168,"Rashod Bateman","BAL","WR",67,7,166.6,138.16,2
169,"Miles Sanders","DAL","RB",62,10,169.1,89.8,1
170,"Dylan Sampson","CLE","RB",63,9,167.7,113.08,3
171,"Tory Horton","SEA","WR",68,8,169.4,127.92,1
172,"Raheem Mostert","LV","RB",64,8,169.8,37.11,1
173,"Dontayvion Wicks","GB","WR",69,5,169.7,70.35,1
174,"Dyami Brown","JAX","WR",70,8,169.9,99.21,1
175,"Marvin Mims Jr.","DEN","WR",71,12,166.5,176.51,4
176,"Zavier Scott","MIN","RB",65,6,169.7,4.78,"N/A"
177,"DeAndre Hopkins","BAL","WR",72,7,166.9,115.26,1
178,"Nick Westbrook-Ikhine","MIA","WR",73,12,169.7,75.52,1
179,"Chris Rodriguez Jr.","WAS","RB",66,12,169.9,96.85,2
180,"Allen Lazard","NYJ","WR",74,9,169.9,66.48,"N/A"
181,"Will Shipley","PHI","RB",67,9,168.6,68.11,2
182,"Pat Bryant","DEN","WR",75,12,169.8,97.05,1
183,"Malik Washington","MIA","WR",76,12,169.6,91.27,1
184,"Emanuel Wilson","GB","RB",68,5,169.6,38.16,1
185,"Jayden Higgins","HOU","WR",77,6,166.4,133.92,4
186,"Kendrick Bourne","SF","WR",78,14,168,0,"N/A"
187,"Xavier Legette","CAR","WR",79,14,151.8,149.7,2
188,"Ty Johnson","BUF","RB",69,7,169.6,52.53,1
189,"Tyquan Thornton","KC","WR",80,10,169.4,22.72,"N/A"
190,"Isaac TeSlaa","DET","WR",81,8,168.8,127.58,1
191,"Olamide Zaccheaus","CHI","WR",82,5,169.8,51.48,1
192,"Jayden Reed","GB","WR",83,5,146.9,151.76,5
193,"Denver Broncos DST","DEN","DST",1,12,98.4,107.84,"N/A"
194,"Buffalo Bills DST","BUF","DST",2,7,149.6,119.29,"N/A"
195,"Pittsburgh Steelers DST","PIT","DST",3,5,90.2,111.54,"N/A"
196,"Minnesota Vikings DST","MIN","DST",4,6,125.5,109.41,"N/A"
197,"Cameron Dicker","LAC","K",1,12,120.4,146.14,"N/A"
198,"Brandon Aubrey","DAL","K",2,10,88.5,145.09,"N/A"
199,"Matt Gay","WAS","K",3,12,161.5,141.23,"N/A"
200,"Jake Bates","DET","K",4,8,99.6,149.83,"N/A"
201,"Baltimore Ravens DST","BAL","DST",5,7,130.1,104.63,"N/A"
202,"Philadelphia Eagles DST","PHI","DST",6,9,128.5,110.12,"N/A"
203,"Houston Texans DST","HOU","DST",7,6,121.6,105.16,"N/A"
204,"Detroit Lions DST","DET","DST",8,8,119.3,112.41,"N/A"
205,"Chase McLaughlin","TB","K",5,9,103.9,144.15,"N/A"
206,"Wil Lutz","DEN","K",6,12,168.9,133.88,"N/A"
207,"Harrison Butker","KC","K",7,10,142.4,144.04,"N/A"
208,"Tyler Loop","BAL","K",8,7,158.8,144.36,"N/A"
209,"Tyler Bass","BUF","K",9,7,152.1,111.27,"N/A"
210,"Los Angeles Rams DST","LAR","DST",9,8,165.2,106.99,"N/A"
211,"Seattle Seahawks DST","SEA","DST",10,8,121.1,105.93,"N/A"
212,"Kansas City Chiefs DST","KC","DST",11,10,165.2,101,"N/A"
213,"Evan McPherson","CIN","K",10,10,169.1,143.66,"N/A"
214,"Ka'imi Fairbairn","HOU","K",11,6,164.6,138.15,"N/A"
215,"Chris Boswell","PIT","K",12,5,149.4,143.59,"N/A"
216,"Los Angeles Chargers DST","LAC","DST",12,12,167.4,97.66,"N/A"
217,"J.J. McCarthy","MIN","QB",21,6,158.7,261.12,2
218,"Juwan Johnson","NO","TE",21,11,165.7,102.65,"N/A"
219,"Michael Penix Jr.","ATL","QB",22,5,167.8,239.96,1
220,"Taysom Hill","NO","TE",22,11,169.6,46.54,"N/A"
221,"Isaiah Likely","BAL","TE",23,7,168.7,126.97,1
222,"Trevor Lawrence","JAX","QB",23,8,167.8,260.47,3
223,"AJ Barner","SEA","TE",24,8,169.1,95.89,"N/A"
224,"Dalton Schultz","HOU","TE",25,6,168.8,97.67,1
225,"Geno Smith","LV","QB",24,8,169.3,239.91,1
226,"Theo Johnson","NYG","TE",26,14,168.8,102.09,1
227,"C.J. Stroud","HOU","QB",25,6,152.8,246.44,2
228,"Oronde Gadsden II","LAC","TE",27,12,169.8,79.17,1
229,"Sam Darnold","SEA","QB",26,8,166.8,226.45,1
230,"Zach Ertz","WAS","TE",28,12,161.6,130.28,1
231,"Green Bay Packers DST","GB","DST",13,5,156.6,114.97,"N/A"
232,"Aaron Rodgers","PIT","QB",27,5,165.6,231.67,"N/A"
233,"San Francisco 49ers DST","SF","DST",14,14,166.5,114.44,"N/A"
234,"Jake Elliott","PHI","K",13,9,140.6,148.03,"N/A"
235,"Tua Tagovailoa","MIA","QB",28,12,166.9,238.86,1
236,"Will Reichard","MIN","K",14,6,168.1,131.49,"N/A"
