"RankRk.","PositionPos.","Name","Team"
"62","RB","J.K. Dobbins","Broncos"
"63","TE","Tucker Kraft","Packers"
"64","WR","Terry McLaurin","Commanders"
"65","WR","Jordan Addison","Vikings"
"66","RB","Jacory Croskey-Merritt","Commanders"
"67","WR","DeVonta Smith","Eagles"
"68","RB","Alvin Kamara","Saints"
"69","RB","Rico Dowdle","Panthers"
"70","QB","Drake Maye","Patriots"
"71","RB","Chuba Hubbard","Panthers"
"72","TE","Sam LaPorta","Lions"
"73","QB","Justin Herbert","Chargers"
"74","RB","Rhamondre Stevenson","Patriots"
"75","RB","Woody Marks","Texans"
"76","WR","Ricky Pearsall","49ers"
"77","RB","David Montgomery","Lions"
"78","QB","Baker Mayfield","Buccaneers"
"79","WR","Travis Hunter","Jaguars"
"80","RB","Tony Pollard","Titans"
"81","WR","Wan'Dale Robinson","Giants"
"82","QB","Caleb Williams","Bears"
"83","WR","Keenan Allen","Chargers"
"84","WR","Xavier Worthy","Chiefs"
"85","WR","Stefon Diggs","Patriots"
"86","RB","Isiah Pacheco","Chiefs"
"87","RB","Rachaad White","Buccaneers"
"88","WR","D.J. Moore","Bears"
"89","WR","Jakobi Meyers","Raiders"
"90","WR","Jameson Williams","Lions"
"91","RB","Zach Charbonnet","Seahawks"
"92","TE","T.J. Hockenson","Vikings"
"93","QB","Jordan Love","Packers"
"94","RB","R.J. Harvey","Broncos"
"95","RB","TreVeyon Henderson","Patriots"
"96","TE","Dalton Kincaid","Bills"
"97","QB","Bo Nix","Broncos"
"98","QB","Jared Goff","Lions"
"99","WR","Chris Godwin Jr.","Buccaneers"
"100","QB","Jaxson Dart","Giants"
"101","RB","Aaron Jones Sr.","Vikings"
"102","RB","Kimani Vidal","Chargers"
"103","WR","Matthew Golden","Packers"
"104","RB","Trey Benson","Cardinals"
"105","WR","Khalil Shakir","Bills"
"106","TE","Dallas Goedert","Eagles"
"107","TE","Kyle Pitts Sr.","Falcons"
"108","TE","Oronde Gadsden","Chargers"
"109","TE","Darren Waller","Dolphins"
"110","QB","Brock Purdy","49ers"
"111","RB","Nick Chubb","Texans"
"112","WR","Jauan Jennings","49ers"
"113","WR","Keon Coleman","Bills"
"114","WR","Romeo Doubs","Packers"
"115","RB","Kyle Monangai","Bears"
"116","QB","Daniel Jones","Colts"
"117","TE","Harold Fannin Jr.","Browns"
"118","RB","Tyler Allgeier","Falcons"
"119","WR","Alec Pierce","Colts"
"120","WR","Cooper Kupp","Seahawks"
"121","WR","Tre Tucker","Raiders"
"122","WR","Kayshon Boutte","Patriots"
"123","TE","Hunter Henry","Patriots"
"124","RB","Bam Knight","Cardinals"
"125","TE","Travis Kelce","Chiefs"
"126","QB","Dak Prescott","Cowboys"
"127","WR","Troy Franklin","Broncos"
"128","WR","Jerry Jeudy","Browns"
"129","QB","Joe Flacco","Bengals"
"130","WR","Calvin Ridley","Titans"
"131","RB","Isaiah Davis","Jets"
"132","WR","Rashid Shaheed","Saints"
"133","WR","Josh Downs","Colts"
"134","WR","Kendrick Bourne","49ers"
"135","RB","Tyjae Spears","Titans"
"136","WR","Hollywood Brown","Chiefs"
"137","TE","Mark Andrews","Ravens"
"138","WR","Brandon Aiyuk","49ers"
"139","QB","Kyler Murray","Cardinals"
"140","WR","Elic Ayomanor","Titans"
"141","RB","Bhayshul Tuten","Jaguars"
"142","WR","Isaiah Bond","Browns"
"143","WR","Darius Slayton","Giants"
"144","RB","Kenneth Gainwell","Steelers"
"145","QB","Justin Fields","Jets"
"146","WR","Darnell Mooney","Falcons"
"147","RB","Kareem Hunt","Chiefs"
"148","TE","Mason Taylor","Jets"
"149","QB","Matthew Stafford","Rams"
"150","WR","Xavier Legette","Panthers"
"151","RB","Tahj Brooks","Bengals"
"152","RB","Blake Corum","Rams"
"153","RB","Keaton Mitchell","Ravens"
"154","WR","Jalen Coker","Panthers"
"155","WR","Christian Watson","Packers"
"156","RB","Dylan Sampson","Browns"
"157","RB","Brashard Smith","Chiefs"
"158","WR","Luther Burden III","Bears"
"159","TE","David Njoku","Browns"
"160","WR","Calvin Austin III","Steelers"
"161","WR","Christian Kirk","Texans"
"162","RB","Tyrone Tracy Jr.","Giants"
"163","RB","Devin Neal","Saints"
"164","RB","Michael Carter","Cardinals"
"165","RB","Brian Robinson Jr.","49ers"
"166","TE","A.J. Barner","Seahawks"
"167","RB","Ollie Gordon II","Dolphins"
"168","RB","Jaydon Blue","Cowboys"
"169","WR","Marvin Mims Jr.","Broncos"
"170","WR","Sterling Shepard","Buccaneers"
"171","RB","Hassan Haskins","Chargers"
"172","RB","Chris Rodriguez Jr.","Commanders"
"173","RB","Raheem Mostert","Raiders"
"174","WR","DeAndre Hopkins","Ravens"
"175","WR","Malik Washington","Dolphins"
"176","WR","Rashod Bateman","Ravens"
"177","WR","Allen Lazard","Jets"
"178","WR","Parker Washington","Jaguars"
"179","RB","Sean Tucker","Buccaneers"
"180","RB","Ameer Abdullah","Colts"
"181","RB","Emanuel Wilson","Packers"
"182","WR","Dyami Brown","Jaguars"
"183","WR","Tory Horton","Seahawks"
"184","WR","Dontayvion Wicks","Packers"
"185","RB","Will Shipley","Eagles"
"186","WR","Jack Bech","Raiders"
"187","RB","Ty Johnson","Bills"
"188","RB","Tank Bigsby","Eagles"
"189","WR","Tyquan Thornton","Chiefs"
"190","WR","Isaac TeSlaa","Lions"
"191","WR","Olamide Zaccheaus","Bears"
"192","WR","Jayden Reed","Packers"
