"RankRk.","PositionPos.","Name","Team"
"1","RB","Bijan Robinson","Falcons"
"2","RB","Christian McCaffrey","49ers"
"3","RB","Jonathan Taylor","Colts"
"4","WR","Puka Nacua","Rams"
"5","RB","Jahmyr Gibbs","Lions"
"6","WR","Ja'Marr Chase","Bengals"
"7","WR","Justin Jefferson","Vikings"
"8","WR","Amon-Ra St. Brown","Lions"
"9","RB","De'Von Achane","Dolphins"
"10","WR","Jaxon Smith-Njigba","Seahawks"
"11","WR","CeeDee Lamb","Cowboys"
"12","RB","Josh Jacobs","Packers"
"13","WR","Rashee Rice","Chiefs"
"14","RB","James Cook III","Bills"
"15","WR","Drake London","Falcons"
"16","RB","Ashton Jeanty","Raiders"
"17","RB","Saquon Barkley","Eagles"
"18","RB","Derrick Henry","Ravens"
"19","TE","Trey McBride","Cardinals"
"20","WR","Garrett Wilson","Jets"
"21","RB","Bucky Irving","Buccaneers"
"22","RB","Javonte Williams","Cowboys"
"23","QB","Lamar Jackson","Ravens"
"24","QB","Jayden Daniels","Commanders"
"25","QB","Josh Allen","Bills"
"26","RB","Kyren Williams","Rams"
"27","WR","Emeka Egbuka","Buccaneers"
"28","RB","Quinshon Judkins","Browns"
"29","QB","Jalen Hurts","Eagles"
"30","WR","Davante Adams","Rams"
"31","WR","Nico Collins","Texans"
"32","TE","Tyler Warren","Colts"
"33","QB","Patrick Mahomes","Chiefs"
"34","WR","A.J. Brown","Eagles"
"35","RB","Cam Skattebo","Giants"
"36","WR","Brian Thomas Jr.","Jaguars"
"37","WR","Rome Odunze","Bears"
"38","RB","Omarion Hampton","Chargers"
"39","WR","Tetairoa McMillan","Panthers"
"40","TE","George Kittle","49ers"
"41","WR","George Pickens","Cowboys"
"42","WR","Ladd McConkey","Chargers"
"43","WR","Chris Olave","Saints"
"44","RB","Jordan Mason","Vikings"
"45","WR","D.K. Metcalf","Steelers"
"46","WR","Courtland Sutton","Broncos"
"47","RB","Jaylen Warren","Steelers"
"48","RB","D'Andre Swift","Bears"
"49","WR","Jaylen Waddle","Dolphins"
"50","TE","Brock Bowers","Raiders"
"51","RB","Chase Brown","Bengals"
"52","RB","Kenneth Walker III","Seahawks"
"53","WR","Deebo Samuel","Commanders"
"54","WR","Marvin Harrison Jr.","Cardinals"
"55","WR","Tee Higgins","Bengals"
"56","RB","Travis Etienne Jr.","Jaguars"
"57","WR","Zay Flowers","Ravens"
"58","RB","Breece Hall","Jets"
"59","WR","Michael Pittman Jr.","Colts"
"60","TE","Jake Ferguson","Cowboys"
"61","WR","Quentin Johnston","Chargers"
