"Offense","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"ARZ","2.5645564572991857","7.398140889721322","1.9430039691633398","0.97790279969233","","10","2.8648059938311015","4.333314472525479","4.828130532436207","3.337803761407048","6.2441748221128694","2.2199092779195593","2.687019093031356","1.2645593331174296","10","7.512041923670699","3","0.25852263963877725","13","3.811403763018293"
"ATL","7.215365579841654","","4.30379444053902","4.333314472525479","6.371291303427241","4.188594523945538","2.0623327800253257","0.3456321831200184","8.09109305885563","4.08214422295943","2.5645564572991857","3.337803761407048","5.914610653376099","6.2441748221128694","10","6.119626561036142","3","6.855104999209731","13","7.1585567205254685"
"BLT","0","2.2199092779195593","6.2441748221128694","","7.518278076500492","6.371291303427241","5.036894081371022","7.027473439458804","4.08214422295943","1.2645593331174296","2.56779741745939","1.2645593331174296","4.188594523945538","0.97790279969233","10","5.181163545829765","3","0.44214187084599443","13","3.2591768454288594"
"BUF","8.09109305885563","4.188594523945538","2.687019093031356","","0.3456321831200184","0","7.779600487278875","3.337803761407048","2.2199092779195593","2.56779741745939","1.2645593331174296","4.188594523945538","7.027473439458804","2.178079462935532","10","0","3","5.3678364144425315","13","0"
"CAR","4.188594523945538","6.371291303427241","10","4.08214422295943","4.30379444053902","0.97790279969233","10","2.687019093031356","4.333314472525479","6.2441748221128694","","8.09109305885563","3.337803761407048","2.5645564572991857","10","10","3","5.791785729336461","13","8.567596635904067"
"CHI","8.046948598613946","","7.215365579841654","8.09109305885563","1.2075734944491558","1.2645593331174296","4.975685612199205","4.24693878736837","2.56779741745939","2.178079462935532","0.97790279969233","7.027473439458804","0.97790279969233","4.333314472525479","10","4.415645106676648","3","4.621205707985531","13","5.614932653140175"
"CIN","1.5792447395932858","5.742765141473863","0.97790279969233","2.56779741745939","4.08214422295943","7.518278076500492","","2.56779741745939","4.188594523945538","1.2075734944491558","4.30379444053902","1.2075734944491558","6.371291303427241","5.914610653376099","10","2.3105579716904745","3","5.438101118225434","13","4.1645780535151955"
"CLV","5.742765141473863","4.24693878736837","2.56779741745939","6.371291303427241","4.188594523945538","","4.824131319990101","1.2075734944491558","8.046948598613946","4.333314472525479","7.398140889721322","7.518278076500492","4.30379444053902","2.56779741745939","10","8.46883266138609","3","6.072211107761055","13","10"
"DAL","0.97790279969233","4.08214422295943","0.3456321831200184","7.215365579841654","1.5792447395932858","5.914610653376099","","8.046948598613946","2.178079462935532","0","5.742765141473863","4.24693878736837","2.453393644931981","7.215365579841654","10","2.479008934920965","3","5.7367816084240255","13","1.2691257434269656"
"DEN","1.2645593331174296","2.178079462935532","4.08214422295943","4.199530007044972","10","2.2199092779195593","9.943006025141802","0","","7.215365579841654","8.046948598613946","0.97790279969233","4.828130532436207","0","10","6.181009507074747","3","0","13","4.473449818522468"
