"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Mason Tipton","NO","5","WR","1","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Casey Washington","ATL","4","WR","12","5","0","69","0","0","0","1","41.7","18.33","5.75","13.8","0.8","2","0","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.9","0.07","2.38"
"Jameson Williams","DET","7","WR","29","17","2","289","1","2","1","2","58.6","15.97","9.97","17","7.53","8","3","2","27.6","17.6","100","0","0","0","0","0","3","0","1","0","0","0","0.33","6","3","1","0","0","0","0","0","0","0","0","0","0","0","58","0.15","2.9"
"Xavier Weaver","ARZ","2","WR","1","0","0","0","0","0","0","0","0","27","0","0","0","1","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tre Tucker","LV","7","WR","39","29","1","389","1","4","1","2","74.4","9.51","9.97","13.41","5.83","10","7","4","25.6","24.1","100","3","2","7.7","6.9","50","5","0","29","0","0","0","5.8","2.4","1","0.2","0","1","0","20","0","0","0","0","0","0","0","94.8","0.25","2.79"
"Ricky Pearsall","SF","4","WR","28","20","1","327","2","0","0","0","71.4","15.86","11.68","16.35","1.45","4","2","0","14.3","10","0","1","0","3.6","0","0","1","0","-4","0","0","0","-4","5","1","1","0","0","0","0","0","0","0","0","0","0","0","52.3","0.23","2.49"
"George Pickens","DAL","7","WR","53","36","3","607","2","6","1","3","67.9","13.74","11.45","16.86","5.17","19","8","5","35.8","22.2","83.3","12","4","22.6","11.1","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","132.7","0.33","3.69"
"Jordan Whittington","LA","7","WR","16","12","1","121","0","0","0","0","75","7.56","7.56","10.08","5.25","1","1","0","6.3","8.3","0","0","0","0","0","0","3","0","12","0","0","0","4","1.67","0","0","0","1","0","33.3","0","0","0","0","0","0","0","25.3","0.09","1.69"
"Rashee Rice","KC","1","WR","9","7","0","42","0","2","0","0","77.8","2","4.67","6","5","4","3","2","44.4","42.9","100","1","1","11.1","14.3","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.2","0.7","3.31"
"Garrett Wilson","NYJ","6","WR","52","36","0","395","0","4","0","3","69.2","9.17","7.6","10.97","2.72","9","6","4","17.3","16.7","100","1","1","1.9","2.8","25","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","99.5","0.27","2.76"
"Zay Flowers","BLT","6","WR","45","34","1","423","1","1","0","0","75.6","9.02","9.4","12.44","6.21","7","4","0","15.6","11.8","0","1","0","2.2","0","0","3","0","12","0","0","0","4","4.33","1","0.33","1","0","0","0","0","0","0","0","0","0","1","83.5","0.28","2.26"
"Skyy Moore","SF","7","WR","3","2","0","25","0","0","0","0","66.7","5","8.33","12.5","9","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6","0.08","1.53"
"Ashton Dulin","IND","6","WR","6","3","0","66","0","0","0","0","50","18.17","11","22","3","1","1","0","16.7","33.3","0","0","0","0","0","0","2","0","22","0","0","0","11","7.5","2","1","0","2","0","100","0","0","0","0","0","0","0","11.8","0.13","2.36"
"Cedric Tillman","CLV","4","WR","20","11","0","106","0","2","0","1","55","9.5","5.3","9.64","1.55","4","3","2","20","27.3","100","2","2","10","18.2","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.6","0.17","3.05"
