"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Isaiah Bond","CLV","5","WR","20","9","0","114","0","0","0","1","45","11.9","5.7","12.67","4.22","4","1","0","20","11.1","0","2","0","10","0","0","1","0","9","0","0","0","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","21.3","0.13","2.13"
"Tetairoa McMillan","CAR","5","WR","42","24","1","351","1","0","0","2","57.1","12.26","8.36","14.63","4.63","15","7","0","35.7","29.2","0","3","0","7.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","59.1","0.19","2.46"
"Elic Ayomanor","TEN","5","WR","27","14","0","169","0","2","0","1","51.9","13.67","6.26","12.07","1.71","6","3","2","22.2","21.4","100","3","2","11.1","14.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.9","0.18","3.06"
"Luther Burden III","CHI","4","WR","8","7","1","99","1","1","1","1","87.5","7","12.38","14.14","7","4","3","1","50","42.9","100","0","0","0","0","0","1","0","7","0","0","0","7","6","1","1","0","0","0","0","0","0","0","0","0","0","0","23.6","0.36","2.95"
"Jack Bech","LV","5","WR","7","5","0","60","0","0","0","0","71.4","13","8.57","12","3.2","1","0","0","14.3","0","0","1","0","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0.17","2.2"
"Brian Thomas Jr.","JAX","5","WR","37","16","1","244","0","0","0","3","43.2","12.95","6.59","15.25","4.19","9","2","0","24.3","12.5","0","3","0","8.1","0","0","2","0","16","0","1","0","8","1","0","0","0","1","1","50","100","0","0","0","0","0","0","48","0.17","2.67"
"Marvin Harrison Jr.","ARZ","5","WR","31","20","2","306","0","2","0","3","64.5","12.68","9.87","15.3","3.1","8","7","2","25.8","35","100","3","2","9.7","10","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.6","0.22","3.13"
"Emeka Egbuka","TB","5","WR","38","25","2","445","2","5","1","3","65.8","14.08","11.71","17.8","5.8","11","6","4","28.9","24","80","3","2","7.9","8","40","2","0","9","0","0","0","4.5","0.5","0","0","0","0","0","0","0","0","0","0","0","1","1","100.4","0.35","3.72"
"Keon Coleman","BUF","5","WR","30","21","0","226","1","2","0","2","70","12.07","7.53","10.76","1.71","5","3","2","16.7","14.3","100","4","2","13.3","9.5","100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","55.6","0.23","2.65"
"Tai Felton","MIN","1","WR","1","1","0","9","0","0","0","0","100","7","9","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.16","1.9"
