"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Ricky Pearsall","SF","4","WR","28","20","1","327","2","0","0","0","71.4","15.86","11.68","16.35","1.45","4","2","0","14.3","10","0","1","0","3.6","0","0","1","0","-4","0","0","0","-4","5","1","1","0","0","0","0","0","0","0","0","0","0","0","52.3","0.23","2.49"
"George Pickens","DAL","8","WR","62","43","3","685","2","6","1","3","69.4","12.97","11.05","15.93","4.7","22","10","5","35.5","23.3","83.3","13","4","21","9.3","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","147.5","0.32","3.43"
"Jordan Whittington","LA","7","WR","16","12","1","121","0","0","0","0","75","7.56","7.56","10.08","5.25","1","1","0","6.3","8.3","0","0","0","0","0","0","3","0","12","0","0","0","4","1.67","0","0","0","1","0","33.3","0","0","0","0","0","0","0","25.3","0.09","1.69"
"Rashee Rice","KC","2","WR","18","16","0","135","0","3","0","0","88.9","2.78","7.5","8.44","6","6","5","3","33.3","31.3","100","1","1","5.6","6.3","33.3","2","0","12","0","0","0","6","4.5","0","0","1","1","0","50","0","0","0","0","0","0","0","48.7","0.53","2.71"
"Garrett Wilson","NYJ","6","WR","52","36","0","395","0","4","0","3","69.2","9.17","7.6","10.97","2.72","9","6","4","17.3","16.7","100","1","1","1.9","2.8","25","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","99.5","0.27","2.76"
"Zay Flowers","BLT","7","WR","54","41","1","486","1","1","0","0","75.9","9.2","9","11.85","5.41","9","5","0","16.7","12.2","0","1","0","1.9","0","0","4","0","20","0","0","0","5","4.75","2","0.5","1","0","0","0","0","0","0","0","0","0","1","97.6","0.28","2.17"
"Skyy Moore","SF","8","WR","4","2","0","25","0","0","0","0","50","14.75","6.25","12.5","9","1","0","0","25","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6","0.07","1.53"
"Ashton Dulin","IND","7","WR","7","4","0","58","0","0","0","0","57.1","14.29","8.29","14.5","2.5","1","1","0","14.3","25","0","0","0","0","0","0","2","0","22","0","0","0","11","7.5","2","1","0","2","0","100","0","0","0","0","0","0","0","12","0.12","2"
"Cedric Tillman","CLV","4","WR","20","11","0","106","0","2","0","1","55","9.5","5.3","9.64","1.55","4","3","2","20","27.3","100","2","2","10","18.2","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.6","0.17","3.05"
"Chris Olave","NO","8","WR","80","52","2","503","0","3","0","2","65","10.57","6.29","9.67","2.38","16","7","3","20","13.5","100","8","3","10","5.8","100","1","0","-3","0","0","0","-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","0.26","2.26"
"Romeo Doubs","GB","7","WR","42","27","1","350","0","4","0","1","64.3","14.14","8.33","12.96","3.15","12","7","4","28.6","25.9","100","5","4","11.9","14.8","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","86","0.23","3.19"
"Ja'Marr Chase","CIN","8","WR","97","70","1","720","3","5","1","3","72.2","8.2","7.42","10.29","5.19","16","9","4","16.5","12.9","80","4","3","4.1","4.3","60","2","0","6","0","0","0","3","0.5","0","0","1","0","0","0","0","0","0","0","0","0","0","172.6","0.38","2.4"
"Jaylen Waddle","MIA","8","WR","49","35","3","504","1","4","2","1","71.4","12.55","10.29","14.4","3.74","13","9","3","26.5","25.7","75","4","2","8.2","5.7","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109.4","0.29","3.13"
"Ryan Miller","TB","8","WR","4","2","0","34","0","1","0","0","50","17.75","8.5","17","0","3","1","1","75","50","100","1","1","25","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.4","0.11","5.7"
"Jake Bobo","SEA","6","WR","2","2","0","20","0","0","0","0","100","8","10","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0.06","2"
"Dyami Brown","JAX","6","WR","27","16","0","194","0","1","0","3","59.3","13.59","7.19","12.13","1.75","9","4","1","33.3","25","100","3","1","11.1","6.3","100","4","0","22","0","0","0","5.5","2.25","0","0","0","0","0","0","0","0","0","0","0","0","0","43.6","0.18","2.18"
"Tutu Atwell","LA","6","WR","9","4","1","164","0","1","1","0","44.4","19.56","18.22","41","15.75","2","1","0","22.2","25","0","1","0","11.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.4","0.17","6.6"
"Christian Watson","GB","1","WR","4","4","0","85","0","0","0","0","100","18","21.25","21.25","3.25","1","1","0","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.5","0.35","3.13"
"Rashid Shaheed","NO","8","WR","57","39","1","431","1","2","1","0","68.4","11.07","7.56","11.05","3.44","11","3","1","19.3","7.7","50","2","0","3.5","0","0","2","0","5","0","0","0","2.5","2","0","0","1","1","0","50","0","0","0","0","0","0","0","94.6","0.24","2.31"
"Joshua Palmer","BUF","6","WR","20","14","1","234","0","0","0","0","70","13.55","11.7","16.71","2.93","4","2","0","20","14.3","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.4","0.22","2.67"
"Tay Martin","WAS","3","WR","2","2","0","23","0","0","0","0","100","9","11.5","11.5","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.3","0.14","2.15"
"Cody White","SEA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Nico Collins","HST","6","WR","45","26","1","339","1","3","1","1","57.8","11.44","7.53","13.04","4.23","10","5","3","22.2","19.2","100","4","2","8.9","7.7","66.7","1","0","8","0","0","0","8","5","0","0","1","0","0","0","0","0","0","0","0","0","0","78.7","0.27","2.91"
"Justin Jefferson","MIN","7","WR","63","41","2","602","2","1","0","2","65.1","11.87","9.56","14.68","5.54","15","6","1","23.8","14.6","100","4","1","6.3","2.4","100","1","0","4","0","0","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","107.6","0.27","2.56"
"Brandon Smith","NYJ","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jerry Jeudy","CLV","8","WR","52","22","0","257","0","0","0","7","42.3","12.96","4.94","11.68","2.64","15","3","0","28.8","13.6","0","4","0","7.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.7","0.1","2.17"
"Charlie Jones","CIN","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"DJ Moore","CHI","7","WR","35","26","1","331","0","1","0","0","74.3","9.2","9.46","12.73","5.77","7","2","1","20","7.7","100","3","1","8.6","3.8","100","11","0","37","0","0","0","3.36","2.27","1","0.09","1","1","0","9.1","0","0","0","0","0","0","0","68.8","0.18","1.86"
"Terry McLaurin","WAS","4","WR","22","13","1","203","0","1","0","0","59.1","15.09","9.23","15.62","2.77","5","2","1","22.7","15.4","100","1","1","4.5","7.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.3","0.22","3.02"
"Courtland Sutton","DEN","8","WR","55","37","1","536","1","3","1","3","67.3","12.8","9.75","14.49","3.89","13","7","3","23.6","18.9","100","5","2","9.1","5.4","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","108.6","0.23","2.94"
"Malik Turner","SF","3","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jauan Jennings","SF","6","WR","35","18","1","212","0","1","1","2","51.4","10.97","6.06","11.78","4.94","11","3","0","31.4","16.7","0","2","0","5.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","45.2","0.15","2.51"
"D.K. Metcalf","PIT","7","WR","45","27","1","461","1","5","1","2","60","12.27","10.24","17.07","10","14","8","4","31.1","29.6","80","6","4","13.3","14.8","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103.1","0.28","3.82"
"Nick Westbrook-Ikhine","MIA","8","WR","12","8","0","60","0","0","0","1","66.7","5.33","5","7.5","2.5","3","1","0","25","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0.06","1.75"
"Van Jefferson","TEN","8","WR","22","13","0","146","0","0","0","0","59.1","10.82","6.64","11.23","3.15","4","2","0","18.2","15.4","0","2","0","9.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.6","0.12","2.12"
"Lil'Jordan Humphrey","NYG","3","WR","8","4","0","55","0","0","0","0","50","18.38","6.88","13.75","0.75","3","0","0","37.5","0","0","2","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.5","0.06","2.38"
"David Sills V","ATL","7","WR","5","3","0","23","0","0","0","0","60","12.8","4.6","7.67","3","1","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.3","0.04","1.77"
"Michael Pittman Jr.","IND","8","WR","55","43","0","446","0","6","0","2","78.2","8.45","8.11","10.37","3.81","12","9","6","21.8","20.9","100","3","3","5.5","7","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","123.6","0.29","2.87"
"KhaDarel Hodge","ATL","6","WR","9","3","0","31","0","0","0","1","33.3","14.44","3.44","10.33","3","1","0","0","11.1","0","0","1","0","11.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.1","0.1","2.03"
"Tim Patrick","JAX","7","WR","6","4","0","63","0","1","0","1","66.7","12","10.5","15.75","7.25","3","1","1","50","25","100","1","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.3","0.17","4.08"
"Jamal Agnew","ATL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Josh Reynolds","NYJ","5","WR","21","11","0","101","0","0","0","1","52.4","13.57","4.81","9.18","1.27","4","0","0","19","0","0","1","0","4.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","21.1","0.08","1.92"
"Chris Godwin","TB","2","WR","14","6","0","52","0","0","0","1","42.9","11.57","3.71","8.67","3.5","3","1","0","21.4","16.7","0","1","0","7.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.2","0.11","1.87"
"Curtis Samuel","BUF","3","WR","4","3","0","35","0","1","0","0","75","16","8.75","11.67","5.33","1","1","1","25","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.5","0.17","4.17"
"Zay Jones","ARZ","6","WR","15","12","1","183","0","0","0","0","80","14.07","12.2","15.25","2.75","2","1","0","13.3","8.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.3","0.14","2.52"
"Demarcus Robinson","SF","5","WR","15","8","0","108","0","0","0","2","53.3","15.67","7.2","13.5","2.63","3","1","0","20","12.5","0","1","0","6.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","18.8","0.12","2.35"
"Chris Moore","WAS","7","WR","16","8","1","164","0","1","0","2","50","15.44","10.25","20.5","4.63","3","1","1","18.8","12.5","100","2","1","12.5","12.5","100","1","0","9","0","0","0","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","31.3","0.13","3.48"
"Stefon Diggs","NE","8","WR","49","42","0","470","2","1","0","1","85.7","7.9","9.59","11.19","4.1","12","10","1","24.5","23.8","100","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","0.34","2.26"
"Brandin Cooks","NO","8","WR","21","17","0","149","0","0","0","0","81","9.9","7.1","8.76","1.82","2","1","0","9.5","5.9","0","1","0","4.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.9","0.09","1.88"
"Mike Evans","TB","4","WR","31","14","0","140","0","1","0","3","45.2","13.97","4.52","10","1.29","6","2","1","19.4","14.3","100","2","1","6.5","7.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0.19","2.43"
"Matthew Golden","GB","7","WR","26","21","1","253","0","0","0","0","80.8","11.58","9.73","12.05","3.76","5","2","0","19.2","9.5","0","2","0","7.7","0","0","8","0","45","0","0","0","5.63","5.25","3","0.38","0","1","0","12.5","0","0","0","0","0","0","0","50.8","0.18","1.75"
"Pat Bryant","DEN","8","WR","11","7","0","86","0","1","0","1","63.6","9.64","7.82","12.29","3.71","4","2","1","36.4","28.6","100","2","1","18.2","14.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.6","0.1","3.09"
"Jalen Coker","CAR","2","WR","7","3","0","36","0","0","0","0","42.9","11.29","5.14","12","2.67","1","0","0","14.3","0","0","1","0","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.6","0.1","2.2"
"Jaylin Noel","HST","7","WR","20","14","1","162","0","1","0","1","70","10.55","8.1","11.57","4.14","3","2","1","15","14.3","100","1","0","5","0","0","2","0","7","0","0","0","3.5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","36.9","0.26","2.31"
"Ladd McConkey","LAC","8","WR","64","43","1","468","1","3","0","2","67.2","9.16","7.31","10.88","3.65","16","8","3","25","18.6","100","6","3","9.4","7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107.8","0.24","2.51"
"Tre Harris","LAC","8","WR","15","11","0","103","0","1","0","0","73.3","9.73","6.87","9.36","3.73","4","2","1","26.7","18.2","100","1","1","6.7","9.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.3","0.13","2.48"
"Dareke Young","SEA","5","WR","2","2","0","48","0","0","0","0","100","23.5","24","24","0.5","1","1","0","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.8","0.2","3.4"
"Andrei Iosivas","CIN","8","WR","23","11","0","170","0","0","0","4","47.8","9.17","7.39","15.45","4","4","1","0","17.4","9.1","0","1","0","4.3","0","0","1","0","5","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","28.5","0.07","2.38"
"Demario Douglas","NE","8","WR","21","14","2","162","0","2","1","1","66.7","6.86","7.71","11.57","5.43","5","4","2","23.8","28.6","100","2","1","9.5","7.1","50","3","0","7","0","0","0","2.33","2","0","0","0","1","0","33.3","0","0","0","0","0","0","0","42.9","0.27","2.52"
"Xavier Smith","LA","5","WR","4","3","0","51","0","0","0","0","75","20.75","12.75","17","2.33","2","2","0","50","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.1","0.15","2.7"
"Wan'Dale Robinson","NYG","8","WR","55","38","1","494","1","2","0","0","69.1","10","8.98","13","5.84","9","4","1","16.4","10.5","50","3","1","5.5","2.6","50","1","0","2","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","99.6","0.21","2.55"
"Dalevon Campbell","CAR","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Luke McCaffrey","WAS","8","WR","15","11","2","203","0","3","1","0","73.3","15","13.53","18.45","6.64","4","3","2","26.7","27.3","66.7","2","1","13.3","9.1","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","49.3","0.28","4.48"
"Devaughn Vele","NO","7","WR","10","5","0","39","0","1","0","0","50","10.7","3.9","7.8","1.6","3","2","1","30","40","100","2","1","20","20","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.9","0.11","2.98"
"Jamari Thrash","CLV","8","WR","12","10","0","107","0","0","0","0","83.3","8.5","8.92","10.7","4.1","1","1","0","8.3","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.7","0.11","2.07"
"Tahj Washington","MIA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Isaiah Williams","NYJ","2","WR","4","3","0","31","0","0","0","0","75","2.5","7.75","10.33","6","0","0","0","0","0","0","0","0","0","0","0","1","0","25","0","0","0","25","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8.6","0.28","2.15"
"Anthony Gould","IND","5","WR","1","1","0","3","0","0","0","0","100","3","3","3","0","1","1","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3","0.02","1.3"
"Gunner Olszewski","NYG","3","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Simi Fehoko","ARZ","3","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Michael Wilson","ARZ","7","WR","26","15","0","136","0","1","0","1","57.7","12.77","5.23","9.07","2.33","8","4","1","30.8","26.7","100","1","1","3.8","6.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.6","0.1","2.31"
"Jalen Nailor","MIN","7","WR","24","13","0","162","0","1","0","0","54.2","11.71","6.75","12.46","3.15","7","2","1","29.2","15.4","100","4","0","16.7","0","0","1","0","15","0","0","0","15","13","1","1","0","0","0","0","0","0","0","0","0","1","1","36.7","0.12","2.62"
"Shedrick Jackson","LV","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jayden Reed","GB","2","WR","5","3","0","45","0","1","0","1","60","14.4","9","15","5","2","1","1","40","33.3","100","1","1","20","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.5","0.59","4.5"
"Justin Watson","HST","2","WR","4","3","0","30","0","0","0","0","75","10.25","7.5","10","4.33","2","1","0","50","33.3","0","1","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0.11","2"
"Malachi Corley","CLV","4","WR","2","2","0","17","0","0","0","0","100","1","8.5","8.5","7.5","0","0","0","0","0","0","0","0","0","0","0","2","0","42","0","0","0","21","14","2","1","0","0","0","0","0","0","0","0","0","0","0","7.9","0.25","1.98"
"Cedrick Wilson Jr.","MIA","1","WR","1","1","0","2","0","0","0","0","100","-2","2","2","4","1","1","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2","0.05","1.2"
"Tyler Johnson","NYJ","7","WR","13","10","0","187","0","1","0","2","76.9","15","14.38","18.7","6.2","2","2","1","15.4","20","100","1","1","7.7","10","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.7","0.16","3.47"
"Ray-Ray McCloud III","ATL","4","WR","12","6","0","64","0","0","0","1","50","6.42","5.33","10.67","7.17","2","0","0","16.7","0","0","1","0","8.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.4","0.09","2.07"
