"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Jahdae Walker","CHI","3","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tetairoa McMillan","CAR","9","WR","68","41","1","558","1","2","0","4","60.3","11.82","8.21","13.61","3.71","20","10","2","29.4","24.4","100","7","2","10.3","4.9","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","108.8","0.2","2.65"
"Jayden Higgins","HST","8","WR","21","14","0","159","0","2","0","0","66.7","11.33","7.57","11.36","2.71","8","4","2","38.1","28.6","100","3","2","14.3","14.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.9","0.14","2.99"
"Gage Larvadain","CLV","4","WR","4","2","0","22","0","0","0","1","50","6","5.5","11","3","1","1","0","25","50","0","0","0","0","0","0","1","0","3","0","0","0","3","16","2","2","0","0","0","0","0","0","0","0","0","0","0","4.5","0.07","1.5"
"Ja'Corey Brooks","WAS","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Troy Franklin","DEN","9","WR","61","37","1","385","0","4","0","3","60.7","13.31","6.31","10.41","4.76","19","10","4","31.1","27","100","6","3","9.8","8.1","75","4","0","9","0","0","0","2.25","4.25","1","0.25","1","0","0","0","0","0","0","0","0","3","3","100.4","0.25","2.45"
"Konata Mumpfield","LA","8","WR","3","2","0","12","0","1","0","0","66.7","8.33","4","6","4","1","1","1","33.3","50","100","1","1","33.3","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.2","0.09","4.6"
"Emeka Egbuka","TB","8","WR","61","34","2","562","2","5","1","4","55.7","13.93","9.21","16.53","5.26","16","6","4","26.2","17.6","80","7","2","11.5","5.9","40","2","0","9","0","0","0","4.5","0.5","0","0","0","0","0","0","0","0","0","0","0","1","1","121.1","0.29","3.36"
"Keon Coleman","BUF","8","WR","42","29","0","284","1","2","0","2","69","11.07","6.76","9.79","1.55","6","3","2","14.3","10.3","100","5","2","11.9","6.9","100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","69.4","0.18","2.39"
"Tai Felton","MIN","2","WR","1","1","0","9","0","0","0","0","100","7","9","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.11","1.9"
"Jimmy Horn Jr.","CAR","5","WR","8","6","0","66","0","0","0","1","75","10.88","8.25","11","4.5","2","1","0","25","16.7","0","0","0","0","0","0","7","0","44","0","0","0","6.29","2.71","2","0.29","0","0","0","0","0","0","0","0","0","0","0","17","0.24","1.31"
"Ricky White","SEA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kyle Williams","NE","9","WR","6","2","0","20","0","0","0","0","33.3","12.33","3.33","10","0.5","0","0","0","0","0","0","0","0","0","0","0","1","0","-2","0","0","0","-2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8","0.03","1.27"
"Tory Horton","SEA","8","WR","22","13","0","161","0","5","0","0","59.1","16.55","7.32","12.38","2.15","9","6","5","40.9","46.2","100","6","4","27.3","30.8","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.1","0.26","4.55"
"Malik Heath","GB","8","WR","6","6","0","86","0","0","0","0","100","9.5","14.33","14.33","4.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.6","0.09","2.43"
"Kayshon Boutte","NE","9","WR","31","23","0","431","1","5","0","1","74.2","17.74","13.9","18.74","0.96","8","6","5","25.8","26.1","100","6","4","19.4","17.4","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.1","0.25","4.18"
"Arian Smith","NYJ","8","WR","10","6","0","47","0","0","0","0","60","15.6","4.7","7.83","3","2","0","0","20","0","0","1","0","10","0","0","1","0","-10","0","0","0","-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.7","0.04","1.39"
"Quentin Johnston","LAC","8","WR","49","32","1","460","0","6","1","2","65.3","12.61","9.39","14.38","4.5","15","10","6","30.6","31.3","100","7","3","14.3","9.4","50","2","0","7","0","0","0","3.5","0.5","0","0","1","0","0","0","0","0","0","0","0","0","0","114.7","0.26","3.37"
"Jordan Watkins","SF","2","WR","3","2","0","26","0","0","0","1","66.7","14.33","8.67","13","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6","0.33","2.3"
"Tre Harris","LAC","9","WR","17","13","0","121","0","1","0","0","76.5","9.29","7.12","9.31","3.62","4","2","1","23.5","15.4","100","1","1","5.9","7.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.1","0.13","2.39"
"Mason Kinsey","TEN","3","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jalen Brooks","DAL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Casey Washington","ATL","5","WR","13","6","0","94","0","0","0","1","46.2","18.23","7.23","15.67","2","2","0","0","15.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.4","0.09","2.57"
"Jameson Williams","DET","8","WR","34","21","2","355","1","3","1","3","61.8","14.97","10.44","16.9","7.24","10","4","3","29.4","19","100","0","0","0","0","0","3","0","1","0","0","0","0.33","6","3","1","0","0","0","0","0","0","0","0","0","0","0","74.6","0.17","3.11"
"Xavier Weaver","ARZ","3","WR","1","0","0","0","0","0","0","0","0","27","0","0","0","1","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tre Tucker","LV","8","WR","43","32","1","427","1","4","1","3","74.4","9.14","9.93","13.34","5.88","11","7","4","25.6","21.9","100","3","2","7","6.3","50","5","0","29","0","0","0","5.8","2.4","1","0.2","0","1","0","20","0","0","0","0","0","0","0","101.6","0.23","2.75"
"Ricky Pearsall","SF","4","WR","28","20","1","327","2","0","0","0","71.4","15.86","11.68","16.35","1.45","4","2","0","14.3","10","0","1","0","3.6","0","0","1","0","-4","0","0","0","-4","5","1","1","0","0","0","0","0","0","0","0","0","0","0","52.3","0.23","2.49"
"George Pickens","DAL","9","WR","69","49","3","764","2","6","1","3","71","12.78","11.07","15.59","4.53","22","10","5","31.9","20.4","83.3","13","4","18.8","8.2","66.7","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","161.4","0.31","3.29"
"Treylon Burks","WAS","1","WR","1","1","0","14","0","0","0","0","100","15","14","14","0","1","1","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4","0.07","2.4"
"Garrett Wilson","NYJ","6","WR","52","36","0","395","0","4","0","3","69.2","9.17","7.6","10.97","2.72","9","6","4","17.3","16.7","100","1","1","1.9","2.8","25","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","99.5","0.27","2.76"
"Jamari Thrash","CLV","8","WR","12","10","0","107","0","0","0","0","83.3","8.5","8.92","10.7","4.1","1","1","0","8.3","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.7","0.11","2.07"
"Tahj Washington","MIA","2","WR","2","1","0","11","0","0","0","0","50","25.5","5.5","11","6","1","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2.1","0.18","2.1"
"Malik Washington","MIA","9","WR","39","28","0","183","0","1","0","1","71.8","4.13","4.69","6.54","5.71","9","7","1","23.1","25","100","0","0","0","0","0","12","0","74","0","0","0","6.17","4.17","3","0.25","1","1","0","8.3","0","0","0","0","0","0","0","59.7","0.19","1.49"
"Amon-Ra St. Brown","DET","8","WR","72","59","0","635","2","7","0","2","81.9","8.18","8.82","10.76","4.14","22","18","7","30.6","30.5","100","5","3","6.9","5.1","42.9","3","0","9","0","0","0","3","4","0","0","1","1","0","33.3","0","0","0","0","0","0","0","165.4","0.37","2.67"
"Cedric Tillman","CLV","4","WR","20","11","0","106","0","2","0","1","55","9.5","5.3","9.64","1.55","4","3","2","20","27.3","100","2","2","10","18.2","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.6","0.17","3.05"
"Brycen Tremayne","CAR","9","WR","12","10","0","116","0","0","0","0","83.3","8.67","9.67","11.6","4","1","1","0","8.3","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","21.6","0.12","2.16"
"Rashod Bateman","BLT","8","WR","26","15","0","184","0","2","0","1","57.7","13.23","7.08","12.27","2.07","7","4","2","26.9","26.7","100","2","2","7.7","13.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.4","0.14","3.03"
"Jaylen Waddle","MIA","9","WR","58","41","3","586","1","4","2","1","70.7","12.21","10.1","14.29","3.59","15","10","3","25.9","24.4","75","4","2","6.9","4.9","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123.6","0.29","3.01"
