"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Patrick Mahomes","KC","7","293","248","164","9","75.5","1800","1","8.1","14","1","0","2","11","15","8","1","6","3.2","42","250","4","0","3","10","4","23.8","2","1","4.8","0","1","173","0.59"
"Jalen Hurts","PHI","7","239","195","136","4","77.3","1498","1","9.2","11","2","1","1","21","7","3","0","3.6","1.5","54","185","5","0","3","17","5","31.5","9","4","16.7","0","1","150.4","0.63"
"Drake Maye","NE","7","254","202","152","6","83.6","1744","0","7.9","12","1","1","2","22","14","8","1","6.9","4","44","200","2","0","4","7","2","15.9","1","1","2.3","1","1","145.8","0.57"
"Dak Prescott","DAL","7","275","259","185","12","80.7","1881","2","7.6","16","2","1","3","8","24","9","1","9.3","3.5","19","56","1","0","3","3","1","15.8","1","1","5.3","1","1","144.8","0.53"
"Matthew Stafford","LA","7","256","242","160","11","73.7","1866","2","9.5","17","2","1","2","11","21","10","0","8.7","4.1","17","-2","0","0","5","4","0","23.5","3","0","17.6","0","0","138.4","0.54"
"Daniel Jones","IND","7","232","214","152","9","78.2","1790","1","8.9","10","0","0","3","6","9","4","0","4.2","1.9","29","83","4","0","2","11","4","37.9","5","4","17.2","1","5","137.9","0.59"
"Josh Allen","BUF","6","218","178","122","8","76.9","1397","1","8.5","11","1","0","4","12","12","5","1","6.7","2.8","46","254","3","0","4","12","3","26.1","7","3","15.2","0","3","135.3","0.62"
"Justin Herbert","LAC","7","305","271","183","12","76.8","1913","3","7.9","13","1","1","6","20","21","8","2","7.7","3","30","186","0","0","2","4","0","13.3","0","0","0","1","1","135.1","0.44"
"Baker Mayfield","TB","7","279","245","157","8","71.1","1767","1","9.1","13","3","2","2","14","14","6","1","5.7","2.4","22","158","0","0","5","3","0","13.6","0","0","0","1","3","134.5","0.48"
"Bo Nix","DEN","7","284","256","160","15","76.4","1556","1","7.7","11","1","1","4","8","13","5","1","5.1","2","38","172","3","0","2","6","3","15.8","1","0","2.6","3","3","133.4","0.47"
"Jared Goff","DET","7","221","203","152","5","84","1631","1","6.8","15","1","0","3","13","7","6","0","3.4","3","11","23","0","0","3","3","0","27.3","0","0","0","0","0","121.5","0.55"
"Sam Darnold","SEA","7","208","192","131","4","79.4","1754","1","10.3","12","1","1","4","9","10","7","0","5.2","3.6","10","41","0","0","3","4","0","40","2","0","20","0","0","114.3","0.55"
"Trevor Lawrence","JAX","7","297","259","152","21","71.5","1620","0","8.7","9","0","0","5","20","14","4","1","5.4","1.5","30","113","2","0","2","6","2","20","3","1","10","0","1","114.1","0.38"
"Caleb Williams","CHI","6","210","185","113","6","69.2","1351","0","8.6","9","2","2","3","11","9","4","1","4.9","2.2","32","106","2","0","4","13","2","40.6","1","1","3.1","0","2","106.6","0.51"
"Jordan Love","GB","6","202","176","122","6","79.5","1438","1","8.2","10","0","0","2","10","12","8","0","6.8","4.5","24","110","0","0","3","3","0","12.5","0","0","0","0","0","104.5","0.52"
"Aaron Rodgers","PIT","6","187","172","118","7","77.6","1270","0","6.6","14","2","2","5","9","13","9","1","7.6","5.2","11","18","0","0","1","0","0","0","0","0","0","1","1","98.6","0.53"
"Bryce Young","CAR","7","248","224","138","10","77.1","1288","1","7.4","11","0","0","5","11","15","7","0","6.7","3.1","18","69","1","0","4","5","1","27.8","2","1","11.1","0","1","98.4","0.4"
"Jayden Daniels","WAS","5","184","146","89","12","75.9","1031","0","8.7","8","0","0","1","13","8","4","1","5.5","2.7","44","211","1","0","3","4","1","9.1","1","1","2.3","1","2","98.3","0.53"
"Spencer Rattler","NO","7","264","235","159","9","75.7","1450","0","8.2","8","1","1","4","15","17","6","0","7.2","2.6","28","155","0","0","3","4","0","14.3","0","0","0","0","1","97.5","0.37"
"Lamar Jackson","BLT","4","119","95","68","1","77.5","869","0","9.6","10","0","0","1","15","10","6","0","10.5","6.3","21","166","1","0","2","4","1","19","1","0","4.8","0","2","95.4","0.8"
"C.J. Stroud","HST","6","223","193","125","3","69.6","1305","0","8","9","1","1","4","15","14","5","0","7.3","2.6","20","147","0","0","0","1","0","5","0","0","0","0","3","94.9","0.43"
"Justin Fields","NYJ","6","175","135","86","6","77.3","845","0","7.4","4","0","0","0","22","2","2","0","1.5","1.5","42","257","3","1","4","6","2","14.3","2","2","4.8","3","4","93.5","0.53"
"Jaxson Dart","NYG","6","144","118","71","6","70.6","791","0","9.7","7","2","0","3","12","7","2","0","5.9","1.7","37","178","3","0","2","10","3","27","2","1","5.4","0","1","89.4","0.62"
"Michael Penix Jr.","ATL","6","215","195","119","6","71","1409","1","8.3","5","1","1","3","9","7","1","0","3.6","0.5","17","43","1","0","2","2","1","11.8","2","1","11.8","0","0","80.7","0.38"
"Tua Tagovailoa","MIA","7","236","205","139","9","76.3","1313","1","7.2","11","1","0","10","15","12","8","0","5.9","3.9","11","38","0","0","6","2","0","18.2","0","0","0","1","1","80.3","0.34"
"Kyler Murray","ARZ","5","195","161","110","6","78.4","962","0","6.4","6","0","0","3","16","8","4","1","5","2.5","29","173","1","0","1","4","1","13.8","1","0","3.4","0","0","79.8","0.41"
"Mac Jones","SF","5","211","194","130","9","78.5","1404","2","7.3","6","1","0","4","13","6","4","0","3.1","2.1","21","34","0","0","3","1","0","4.8","0","0","0","0","0","75.6","0.36"
"Joe Flacco","CIN","6","266","252","153","16","75.4","1376","1","7.2","7","0","0","6","12","7","5","0","2.8","2","11","16","0","0","2","6","0","54.5","2","0","18.2","1","1","72.6","0.27"
"Geno Smith","LV","7","229","202","133","5","72.6","1417","1","7.7","7","1","1","10","19","13","2","2","6.4","1","22","72","0","0","1","2","0","9.1","0","0","0","1","1","71.9","0.31"
"Cam Ward","TEN","7","276","236","136","9","68.7","1356","0","8.1","4","0","0","5","30","9","3","1","3.8","1.3","14","36","0","0","5","4","0","28.6","2","0","14.3","0","0","63.8","0.23"
"Carson Wentz","MIN","4","167","142","95","4","74.4","1072","2","8.8","5","0","0","4","14","11","2","0","7.7","1.4","11","57","0","0","2","2","0","18.2","0","0","0","1","1","60.6","0.36"
"Jake Browning","CIN","4","137","124","80","1","69.8","757","0","8","6","2","1","8","9","6","3","0","4.8","2.4","9","39","1","0","1","2","1","22.2","1","1","11.1","0","0","48.2","0.35"
"Russell Wilson","NYG","5","130","112","66","4","74.5","786","1","10.1","3","1","0","3","8","8","3","1","7.1","2.7","16","94","0","0","3","6","0","37.5","0","0","0","0","0","46.8","0.36"
"Jacoby Brissett","ARZ","4","94","81","52","3","78.6","599","1","9.6","4","0","0","1","8","6","2","0","7.4","2.5","10","47","0","0","1","1","0","10","0","0","0","0","0","42.7","0.45"
"Marcus Mariota","WAS","3","66","58","35","1","70.6","426","0","11.1","3","1","0","2","5","5","2","0","8.6","3.4","10","94","1","0","1","3","1","30","2","1","20","1","1","40.4","0.61"
"Dillon Gabriel","CLV","5","121","107","64","7","72.4","546","0","6.1","3","0","0","0","10","7","2","0","6.5","1.9","6","17","0","0","0","1","0","16.7","0","0","0","0","0","35.5","0.29"
"Brock Purdy","SF","2","80","73","48","4","77.6","586","1","7.7","4","0","0","4","2","4","1","0","5.5","1.4","7","30","0","0","1","2","0","28.6","0","0","0","1","1","34.4","0.43"
"Tyrod Taylor","NYJ","3","91","69","43","6","80.3","379","0","9.1","3","0","0","3","9","5","2","1","7.2","2.9","14","80","0","0","1","0","0","0","0","0","0","0","0","29.2","0.32"
"J.J. McCarthy","MIN","2","55","41","24","3","71.1","301","0","10.3","2","0","0","3","9","2","1","0","4.9","2.4","7","50","1","0","3","1","1","14.3","0","0","0","1","3","25","0.45"
"Joe Burrow","CIN","2","44","36","21","2","67.6","189","0","8.3","2","0","0","0","5","4","2","0","11.1","5.6","2","3","0","0","0","0","0","0","0","0","0","0","0","15.9","0.36"
"Andy Dalton","CAR","3","14","13","9","0","75","118","0","12","1","0","0","0","1","1","1","0","7.7","7.7","3","-3","0","0","0","0","0","0","0","0","0","0","0","8.4","0.6"
"Tyler Huntley","BLT","1","21","15","10","0","76.9","68","0","4.7","0","0","0","0","4","0","0","0","0","0","3","39","0","0","0","1","0","33.3","0","0","0","0","0","6.6","0.31"
"Cooper Rush","BLT","4","53","52","34","2","73.5","303","0","6.5","0","0","0","4","1","0","0","0","0","0","4","-4","0","0","1","0","0","0","0","0","0","0","0","3.7","0.07"
"Trey Lance","LAC","1","6","4","3","0","100","44","0","5.3","0","0","0","0","1","0","0","0","0","0","1","11","0","0","0","0","0","0","0","0","0","0","0","2.9","0.48"
"Quinn Ewers","MIA","1","10","8","5","0","62.5","53","0","9.3","0","0","0","0","2","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","2.1","0.21"
"Tyson Bagent","CHI","1","4","3","2","0","66.7","27","0","12","0","0","0","0","0","0","0","0","0","0","2","7","0","0","1","0","0","0","0","0","0","0","0","1.8","0.45"
"Zach Wilson","MIA","1","9","8","5","0","71.4","32","0","6.9","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","1.6","0.18"
"Davis Mills","HST","1","5","4","2","1","100","23","0","13.7","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","1.2","0.24"
"Kirk Cousins","ATL","1","7","7","5","2","100","29","0","1.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2","0.17"
"Max Brosmer","MIN","2","4","4","2","2","100","29","0","1.5","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","1.1","0.28"
"Mitch Trubisky","BUF","1","2","2","1","0","50","32","0","13.5","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","0","0","0","0","0","0","0","0","1","0.5"
"Mason Rudolph","PIT","2","2","2","2","0","100","12","0","-1.5","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.25"
"Drew Lock","SEA","1","3","3","2","0","66.7","15","0","1.3","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","0.5","0.17"
"Jalen Milroe","SEA","3","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","3","4","0","0","1","0","0","0","0","0","0","0","0","0.4",""
"Anthony Richardson","IND","2","2","2","1","0","50","9","0","18.5","0","0","0","0","0","0","0","0","0","0","4","-1","0","0","0","0","0","0","0","0","0","0","0","0.3","0.15"
"Kenny Pickett","LV","1","2","2","2","0","100","8","0","0.5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0.3","0.15"
"Joshua Dobbs","NE","2","2","2","1","0","50","12","0","12.5","0","0","0","0","0","0","0","0","0","0","5","-4","0","0","0","0","0","0","0","0","0","0","0","0.1","0.05"
"Tyler Shough","NO","1","2","2","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brett Rypien","CIN","1","1","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Teddy Bridgewater","TB","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","-0.1",""
"Kyle Allen","DET","2","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","2","-2","0","0","0","0","0","0","0","0","0","0","0","-0.2",""
"Jimmy Garoppolo","LA","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","0","0","0","0","0","0","0","0","-0.3",""
"Joe Milton III","DAL","1","5","5","3","0","60","41","0","14","0","0","0","1","0","2","0","1","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","-0.08"
"Gardner Minshew","KC","2","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","5","-6","0","0","0","0","0","0","0","0","0","0","0","-0.6",""
