"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Patrick Mahomes","KC","6","253","213","138","8","74.5","1514","1","8.4","11","1","0","2","10","13","6","1","6.1","2.8","38","222","4","0","3","10","4","26.3","2","1","5.3","0","1","146.8","0.58"
"Jalen Hurts","PHI","6","213","172","117","3","75.9","1172","0","8.7","8","1","0","1","18","7","3","0","4.1","1.7","50","195","5","0","3","16","5","32","9","4","18","0","1","126.4","0.59"
"Baker Mayfield","TB","6","225","195","129","8","74.1","1539","1","8.9","12","3","2","1","10","10","6","1","5.1","3.1","22","158","0","0","4","3","0","13.6","0","0","0","1","2","123.4","0.55"
"Drake Maye","NE","6","219","179","131","6","82","1522","0","7.9","10","1","1","2","18","12","6","1","6.7","3.4","36","138","2","0","4","6","2","16.7","1","1","2.8","1","1","122.7","0.56"
"Dak Prescott","DAL","6","242","229","164","12","81.5","1617","2","7.7","13","1","0","3","7","23","8","1","10","3.5","14","49","1","0","2","2","1","14.3","1","1","7.1","1","1","121.6","0.5"
"Josh Allen","BUF","5","183","152","107","8","80.4","1217","1","7.9","9","1","0","2","8","10","4","0","6.6","2.6","40","212","3","0","2","12","3","30","7","3","17.5","0","3","119.9","0.66"
"Daniel Jones","IND","6","195","180","129","8","78.7","1502","1","8.5","8","0","0","3","5","7","3","0","3.9","1.7","25","78","4","0","2","11","4","44","5","4","20","0","4","117.9","0.6"
"Matthew Stafford","LA","6","222","209","139","9","74.4","1684","2","9.2","12","2","1","2","11","15","5","0","7.2","2.4","15","-3","0","0","5","4","0","26.7","3","0","20","0","0","111.1","0.5"
"Jared Goff","DET","6","187","174","132","5","85.6","1390","1","7","14","1","0","2","9","6","6","0","3.4","3.4","9","16","0","0","2","3","0","33.3","0","0","0","0","0","109.2","0.58"
"Justin Herbert","LAC","6","244","216","146","9","76","1494","2","7.6","10","1","1","4","17","16","6","1","7.4","2.8","24","155","0","0","2","2","0","8.3","0","0","0","1","1","107.3","0.44"
"Sam Darnold","SEA","6","173","161","114","4","81.9","1541","1","10.1","11","1","1","3","7","8","6","0","5","3.7","7","40","0","0","2","4","0","57.1","2","0","28.6","0","0","103.6","0.6"
"Bo Nix","DEN","6","228","206","133","10","77.3","1277","1","7.3","9","1","1","4","6","10","4","1","4.9","1.9","33","124","1","0","1","4","1","12.1","1","0","3","1","1","97.5","0.43"
"Trevor Lawrence","JAX","6","240","211","129","16","72.9","1324","0","7.9","8","0","0","5","13","11","4","1","5.2","1.9","28","95","2","0","2","5","2","17.9","3","1","10.7","0","1","96.5","0.4"
"Lamar Jackson","BLT","4","119","95","68","1","77.5","869","0","9.6","10","0","0","1","15","10","6","0","10.5","6.3","21","166","1","0","2","4","1","19","1","0","4.8","0","2","95.4","0.8"
"Jordan Love","GB","5","169","147","103","5","80","1259","1","8.3","9","0","0","2","9","10","8","0","6.8","5.4","20","88","0","0","1","3","0","15","0","0","0","0","0","91.2","0.54"
"Justin Fields","NYJ","5","158","123","80","6","78.9","799","0","7.4","4","0","0","0","19","2","2","0","1.6","1.6","38","242","3","1","4","6","2","15.8","2","2","5.3","3","4","90.2","0.57"
"Bryce Young","CAR","6","220","199","123","9","76.7","1150","1","7.5","10","0","0","5","10","13","6","0","6.5","3","16","59","1","0","3","5","1","31.3","2","1","12.5","0","1","87.9","0.4"
"Spencer Rattler","NO","6","227","203","139","8","77","1217","0","7.6","6","1","1","1","11","15","4","0","7.4","2","26","143","0","0","2","4","0","15.4","0","0","0","0","1","85","0.37"
"Caleb Williams","CHI","4","150","130","81","5","71.7","927","0","8.5","8","1","1","2","7","8","4","1","6.2","3.1","24","110","1","0","2","8","1","33.3","0","0","0","0","1","82.1","0.55"
"Tua Tagovailoa","MIA","6","208","182","127","7","77.5","1213","1","7.1","11","1","0","7","13","11","8","0","6","4.4","8","32","0","0","3","0","0","0","0","0","0","1","1","81.7","0.39"
"C.J. Stroud","HST","5","169","144","102","2","75.4","1076","0","7.6","8","1","1","3","12","8","4","0","5.6","2.8","18","122","0","0","0","1","0","5.6","0","0","0","0","2","81.2","0.48"
"Kyler Murray","ARZ","5","195","161","110","6","78.4","962","0","6.4","6","0","0","3","16","8","4","1","5","2.5","29","168","1","0","1","4","1","13.8","1","0","3.4","0","0","79.3","0.41"
"Aaron Rodgers","PIT","5","152","138","95","6","78.9","1021","0","5.8","10","1","1","3","9","8","6","1","5.8","4.3","10","12","0","0","1","0","0","0","0","0","0","1","1","76","0.5"
"Mac Jones","SF","4","183","168","113","6","77.8","1252","2","7.6","6","1","0","3","12","6","4","0","3.6","2.4","16","23","0","0","3","1","0","6.3","0","0","0","0","0","70.4","0.38"
"Geno Smith","LV","6","211","186","123","4","72.2","1350","1","8.1","7","1","1","10","18","13","2","2","7","1.1","20","71","0","0","0","2","0","10","0","0","0","1","1","69.1","0.33"
"Jaxson Dart","NYG","5","107","85","56","4","74.1","508","0","8.8","4","0","0","2","8","6","2","0","7.1","2.4","32","167","2","0","2","7","2","21.9","1","0","3.1","0","0","61","0.57"
"Jayden Daniels","WAS","3","121","98","58","7","72.2","664","0","8.8","4","0","0","0","8","4","1","0","4.1","1","26","124","0","0","0","3","0","11.5","0","0","0","1","1","55","0.45"
"Michael Penix Jr.","ATL","4","137","125","78","5","70.9","918","1","8","3","1","1","3","5","7","1","0","5.6","0.8","13","31","1","0","1","2","1","15.4","2","1","15.4","0","0","51.8","0.38"
"Cam Ward","TEN","6","237","202","111","9","67","1101","0","8.5","3","0","0","4","25","9","3","1","4.5","1.5","14","36","0","0","4","4","0","28.6","2","0","14.3","0","0","51.6","0.22"
"Carson Wentz","MIN","3","120","100","69","2","76.3","759","1","7.8","5","0","0","2","12","6","2","0","6","2","7","29","0","0","1","1","0","14.3","0","0","0","1","1","49.3","0.41"
"Jake Browning","CIN","4","137","124","80","1","69.8","757","0","8","6","2","1","8","9","6","3","0","4.8","2.4","9","39","1","0","1","2","1","22.2","1","1","11.1","0","0","48.2","0.35"
"Russell Wilson","NYG","5","130","112","66","4","74.5","786","1","10.1","3","1","0","3","8","8","3","1","7.1","2.7","16","94","0","0","3","6","0","37.5","0","0","0","0","0","46.8","0.36"
"Joe Flacco","CIN","5","217","205","122","14","75.6","1034","0","7.1","4","0","0","6","10","3","3","0","1.5","1.5","6","13","0","0","2","2","0","33.3","2","0","33.3","1","1","46.7","0.22"
"Marcus Mariota","WAS","2","54","48","31","1","76.2","363","0","10.5","3","1","0","1","3","4","2","0","8.3","4.2","8","60","1","0","1","2","1","25","2","1","25","1","1","36.5","0.68"
"Brock Purdy","SF","2","80","73","48","4","77.6","586","1","7.7","4","0","0","4","2","4","1","0","5.5","1.4","7","30","0","0","1","2","0","28.6","0","0","0","1","1","34.4","0.43"
"Dillon Gabriel","CLV","4","98","89","51","6","71.3","430","0","6.4","3","0","0","0","8","7","2","0","7.9","2.2","2","5","0","0","0","0","0","0","0","0","0","0","0","29.7","0.3"
"Tyrod Taylor","NYJ","2","63","47","33","4","86","253","0","5.9","3","0","0","1","6","3","2","0","6.4","4.3","11","69","0","0","1","0","0","0","0","0","0","0","0","27","0.43"
"J.J. McCarthy","MIN","2","55","41","24","3","71.1","301","0","10.3","2","0","0","3","9","2","1","0","4.9","2.4","7","50","1","0","3","1","1","14.3","0","0","0","1","3","25","0.45"
"Jacoby Brissett","ARZ","3","48","45","27","2","78.4","320","1","10.5","2","0","0","1","2","3","1","0","6.7","2.2","4","21","0","0","0","1","0","25","0","0","0","0","0","20.9","0.44"
"Joe Burrow","CIN","2","44","36","21","2","67.6","189","0","8.3","2","0","0","0","5","4","2","0","11.1","5.6","2","3","0","0","0","0","0","0","0","0","0","0","0","15.9","0.36"
"Tyler Huntley","BLT","1","21","15","10","0","76.9","68","0","4.7","0","0","0","0","4","0","0","0","0","0","3","39","0","0","0","1","0","33.3","0","0","0","0","0","6.6","0.31"
"Andy Dalton","CAR","2","6","6","5","0","83.3","58","0","7.8","1","0","0","0","0","1","1","0","16.7","16.7","1","-1","0","0","0","0","0","0","0","0","0","0","0","6.2","1.03"
"Cooper Rush","BLT","4","53","52","34","2","73.5","303","0","6.5","0","0","0","4","1","0","0","0","0","0","4","-4","0","0","1","0","0","0","0","0","0","0","0","3.7","0.07"
"Trey Lance","LAC","1","6","4","3","0","100","44","0","5.3","0","0","0","0","1","0","0","0","0","0","1","11","0","0","0","0","0","0","0","0","0","0","0","2.9","0.48"
"Tyson Bagent","CHI","1","4","3","2","0","66.7","27","0","12","0","0","0","0","0","0","0","0","0","0","2","7","0","0","1","0","0","0","0","0","0","0","0","1.8","0.45"
"Zach Wilson","MIA","1","9","8","5","0","71.4","32","0","6.9","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","1.6","0.18"
"Davis Mills","HST","1","5","4","2","1","100","23","0","13.7","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","1.2","0.24"
"Kirk Cousins","ATL","1","7","7","5","2","100","29","0","1.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2","0.17"
"Max Brosmer","MIN","2","4","4","2","2","100","29","0","1.5","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","1.1","0.28"
"Mitch Trubisky","BUF","1","2","2","1","0","50","32","0","13.5","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","0","0","0","0","0","0","0","0","1","0.5"
"Mason Rudolph","PIT","2","2","2","2","0","100","12","0","-1.5","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.25"
"Drew Lock","SEA","1","3","3","2","0","66.7","15","0","1.3","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","0.5","0.17"
