"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Isaiah Bond","CLV","4","WR","14","7","0","85","0","0","0","1","50","11","6.07","12.14","5.14","2","1","0","14.3","14.3","0","0","0","0","0","0","1","0","9","0","0","0","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","16.4","0.13","2.05"
"Tetairoa McMillan","CAR","4","WR","34","18","1","278","1","0","0","2","52.9","11.53","8.18","15.44","5.56","11","4","0","32.4","22.2","0","3","0","8.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","45.8","0.19","2.54"
"Elic Ayomanor","TEN","4","WR","23","12","0","151","0","2","0","1","52.2","14.39","6.57","12.58","1.92","5","3","2","21.7","25","100","3","2","13","16.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.1","0.21","3.26"
"Luther Burden III","CHI","4","WR","8","7","1","99","1","1","1","1","87.5","7","12.38","14.14","7","4","3","1","50","42.9","100","0","0","0","0","0","1","0","7","0","0","0","7","6","1","1","0","0","0","0","0","0","0","0","0","0","0","23.6","0.36","2.95"
"Jack Bech","LV","4","WR","2","2","0","33","0","0","0","0","100","11.5","16.5","16.5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.3","0.18","2.65"
"Brian Thomas Jr.","JAX","4","WR","31","12","1","164","0","0","0","3","38.7","12.45","5.29","13.67","3.58","6","1","0","19.4","8.3","0","2","0","6.5","0","0","2","0","16","0","1","0","8","1","0","0","0","1","1","50","100","0","0","0","0","0","0","36","0.15","2.57"
"Marvin Harrison Jr.","ARZ","4","WR","26","16","1","208","0","2","0","3","61.5","11.42","8","13","3.31","7","6","2","26.9","37.5","100","3","2","11.5","12.5","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.8","0.21","3.05"
"Emeka Egbuka","TB","4","WR","31","18","1","282","1","4","1","3","58.1","12.81","9.1","15.67","6.28","9","4","3","29","22.2","75","2","1","6.5","5.6","25","2","0","9","0","0","0","4.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","71.1","0.3","3.55"
"Keon Coleman","BUF","4","WR","23","17","0","203","1","1","0","2","73.9","11.65","8.83","11.94","2","3","2","1","13","11.8","100","2","1","8.7","5.9","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","43.3","0.22","2.55"
"Tai Felton","MIN","1","WR","1","1","0","9","0","0","0","0","100","7","9","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.16","1.9"
