"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Patrick Mahomes","KC","9","373","316","204","11","74.4","2349","1","8.7","17","1","0","5","17","20","10","1","6.3","3.2","47","285","4","0","3","11","4","23.4","2","1","4.3","1","2","204.5","0.55"
"Drake Maye","NE","9","328","255","189","9","82.8","2285","0","8.7","17","1","1","4","34","15","9","1","5.9","3.5","59","270","2","0","7","10","2","16.9","1","1","1.7","1","1","190.4","0.58"
"Justin Herbert","LAC","9","378","325","220","13","76.9","2390","3","8.3","18","1","1","8","28","26","12","2","8","3.7","46","305","1","0","2","10","1","21.7","2","1","4.3","1","1","188.1","0.5"
"Josh Allen","BUF","8","269","223","157","10","78.4","1833","1","7.8","13","2","1","4","17","12","5","1","5.4","2.2","55","280","7","0","4","16","7","29.1","11","7","20","0","3","187.3","0.7"
"Daniel Jones","IND","9","321","293","204","10","77.3","2404","2","8.9","14","0","0","6","14","11","6","0","3.8","2","33","90","5","0","5","12","5","36.4","6","5","18.2","1","5","179.2","0.56"
"Jalen Hurts","PHI","8","266","215","151","4","77.9","1677","1","9.1","15","3","1","1","25","8","3","0","3.7","1.4","58","207","5","0","3","19","5","32.8","9","4","15.5","0","1","175.8","0.66"
"Bo Nix","DEN","9","353","322","197","21","75.4","1976","1","8.7","17","1","1","6","9","19","8","1","5.9","2.5","42","207","3","0","2","6","3","14.3","1","0","2.4","4","5","173.7","0.49"
"Dak Prescott","DAL","9","362","329","228","17","79.3","2319","2","8","17","2","1","6","15","28","10","1","8.5","3","29","121","1","0","3","4","1","13.8","2","1","6.9","1","1","166.9","0.46"
"Matthew Stafford","LA","8","290","274","184","11","74.4","2147","2","9.6","21","2","1","2","13","25","13","0","9.1","4.7","21","-6","0","0","5","4","0","19","3","0","14.3","0","0","165.3","0.57"
"Caleb Williams","CHI","8","292","257","158","10","71.5","1916","0","8.7","12","3","3","4","14","14","5","1","5.4","1.9","40","183","2","0","4","16","2","40","2","1","5","0","3","146.9","0.5"
"Sam Darnold","SEA","8","232","216","152","4","80.4","2084","2","10.2","16","2","2","5","9","12","9","0","5.6","4.2","10","41","0","0","3","4","0","40","2","0","20","0","0","141.5","0.61"
"Jared Goff","DET","8","263","240","177","7","83.6","1915","1","6.9","17","2","0","3","18","9","6","0","3.8","2.5","11","23","0","0","3","3","0","27.3","0","0","0","0","0","140.9","0.54"
"Baker Mayfield","TB","8","306","269","172","11","71.8","1919","1","8.9","13","3","2","2","17","17","6","1","6.3","2.2","22","158","0","0","6","3","0","13.6","0","0","0","1","3","140.6","0.46"
"Jordan Love","GB","8","279","250","177","8","80.8","2071","2","8","13","0","0","3","11","14","8","0","5.6","3.2","26","110","0","0","3","3","0","11.5","0","0","0","1","1","139.8","0.5"
"Jaxson Dart","NYG","8","214","175","109","9","73.3","1175","0","9.4","10","2","0","3","19","11","3","0","6.3","1.7","51","251","5","0","2","14","5","27.5","4","2","7.8","0","1","136.1","0.64"
"Trevor Lawrence","JAX","8","337","293","175","24","72.6","1840","0","8.7","9","0","0","6","21","16","4","2","5.5","1.4","39","137","4","0","2","11","4","28.2","5","2","12.8","0","1","135.3","0.4"
"Joe Flacco","CIN","8","352","333","205","21","75.3","2069","2","7.5","13","2","0","8","16","12","7","0","3.6","2.1","14","29","1","0","3","7","1","50","3","1","21.4","2","2","127.7","0.36"
"Aaron Rodgers","PIT","8","265","243","167","11","78.4","1692","0","6.2","17","2","2","5","15","18","11","1","7.4","4.5","13","18","0","0","1","1","0","7.7","1","0","7.7","1","3","127.5","0.48"
"C.J. Stroud","HST","8","279","242","161","3","71.6","1702","1","8.1","11","1","1","5","17","15","6","0","6.2","2.5","29","189","0","0","0","2","0","6.9","0","0","0","0","3","121","0.43"
"Lamar Jackson","BLT","5","146","118","86","1","79.1","1073","0","9.6","14","0","0","1","17","13","9","0","11","7.6","26","180","1","0","2","4","1","15.4","1","0","3.8","0","2","120.9","0.83"
"Jayden Daniels","WAS","6","219","168","105","13","76.6","1184","0","8.3","8","0","0","2","17","8","4","1","4.8","2.4","54","262","2","0","3","6","2","11.1","2","2","3.7","1","2","113.6","0.52"
"Tua Tagovailoa","MIA","9","306","271","184","11","76.2","1779","1","6.9","15","2","0","11","18","13","8","0","4.8","3","12","39","0","0","6","2","0","16.7","0","0","0","1","1","113.1","0.37"
"Justin Fields","NYJ","7","212","167","107","6","76.9","1089","0","7.1","5","0","0","0","22","5","3","0","3","1.8","53","288","3","1","4","9","2","17","2","2","3.8","5","6","110.4","0.52"
"Mac Jones","SF","7","277","250","168","12","78.9","1832","2","7.8","10","1","0","5","17","9","6","0","3.6","2.4","27","61","0","0","4","2","0","7.4","1","0","3.7","1","1","109.4","0.39"
"Michael Penix Jr.","ATL","7","255","232","141","7","71.2","1630","1","8.4","8","1","1","3","10","12","4","0","5.2","1.7","19","62","1","0","3","3","1","15.8","2","1","10.5","0","0","103.4","0.41"
"Spencer Rattler","NO","8","291","256","174","9","75.6","1586","0","8.3","8","1","1","5","18","17","6","0","6.6","2.3","31","167","0","0","4","4","0","12.9","0","0","0","0","1","102.1","0.35"
"Bryce Young","CAR","8","272","244","149","12","76.3","1390","1","7.3","11","0","0","6","12","17","7","1","7","2.9","20","78","1","0","5","5","1","25","2","1","10","0","1","101.4","0.37"
"Geno Smith","LV","8","272","241","162","8","74.6","1701","1","7.2","11","1","1","11","21","17","4","2","7.1","1.7","27","81","0","0","1","2","0","7.4","0","0","0","1","2","98.1","0.36"
"Cam Ward","TEN","9","346","295","170","12","68.2","1760","0","8.4","5","0","0","6","38","14","4","2","4.7","1.4","18","46","0","0","7","4","0","22.2","2","0","11.1","0","0","83","0.24"
"Kyler Murray","ARZ","5","195","161","110","6","78.4","962","0","6.4","6","0","0","3","16","8","4","1","5","2.5","29","173","1","0","1","4","1","13.8","1","0","3.4","0","0","79.8","0.41"
"Carson Wentz","MIN","5","199","169","110","4","72.6","1216","2","8.4","6","0","0","5","19","12","3","0","7.1","1.8","11","57","0","0","3","2","0","18.2","0","0","0","1","1","68.3","0.34"
"Jacoby Brissett","ARZ","5","131","112","73","3","77.6","860","1","9.2","6","0","0","1","13","9","4","0","8","3.6","15","51","1","0","2","2","1","13.3","1","1","6.7","0","0","67.5","0.52"
"Marcus Mariota","WAS","5","101","88","56","4","75","639","0","9","4","1","0","4","7","6","3","0","6.8","3.4","18","122","1","0","2","4","1","22.2","2","1","11.1","1","1","51.8","0.51"
"Jake Browning","CIN","4","137","124","80","1","69.8","757","0","8","6","2","1","8","9","6","3","0","4.8","2.4","9","39","1","0","1","2","1","22.2","1","1","11.1","0","0","48.2","0.35"
"Dillon Gabriel","CLV","6","159","142","85","7","71.3","702","0","6.4","5","0","0","2","11","10","3","0","7","2.1","7","30","0","0","0","1","0","14.3","0","0","0","0","1","47.1","0.3"
"Russell Wilson","NYG","5","130","112","66","4","74.5","786","1","10.1","3","1","0","3","8","8","3","1","7.1","2.7","16","94","0","0","3","6","0","37.5","0","0","0","0","0","46.8","0.36"
"J.J. McCarthy","MIN","3","87","66","38","5","70.5","444","0","10.5","4","0","0","4","14","6","3","0","9.1","4.5","16","62","2","0","4","2","2","12.5","0","0","0","1","3","44","0.51"
"Brock Purdy","SF","2","80","73","48","4","77.6","586","1","7.7","4","0","0","4","2","4","1","0","5.5","1.4","7","30","0","0","1","2","0","28.6","0","0","0","1","1","34.4","0.43"
"Tyrod Taylor","NYJ","3","91","69","43","6","80.3","379","0","9.1","3","0","0","3","9","5","2","1","7.2","2.9","14","80","0","0","1","0","0","0","0","0","0","0","0","29.2","0.32"
"Tyler Huntley","BLT","2","46","37","27","1","82.4","254","0","7.6","1","0","0","0","6","0","0","0","0","0","11","92","0","0","0","5","0","45.5","0","0","0","0","0","23.4","0.51"
"Joe Burrow","CIN","2","44","36","21","2","67.6","189","0","8.3","2","0","0","0","5","4","2","0","11.1","5.6","2","3","0","0","0","0","0","0","0","0","0","0","0","15.9","0.36"
"Tyler Shough","NO","3","62","56","32","3","66","304","0","9.6","1","0","0","2","3","2","0","0","3.6","0","4","14","0","0","0","0","0","0","0","0","0","0","0","13.6","0.22"
"Andy Dalton","CAR","4","48","37","25","0","71.4","293","0","9.5","1","0","0","1","8","2","1","0","5.4","2.7","5","-2","0","0","2","0","0","0","0","0","0","0","0","13.5","0.28"
"Kirk Cousins","ATL","2","39","38","26","4","81.1","202","0","7.4","0","0","0","0","1","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","8.3","0.21"
"Davis Mills","HST","2","38","34","19","2","67.7","160","0","9","0","0","0","0","2","0","0","0","0","0","5","10","0","0","0","1","0","20","1","0","20","0","0","7.4","0.19"
