"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","4","143","121","85","6","80.5","964","1","7.7","7","1","0","1","7","8","3","0","6.6","2.5","31","159","3","0","1","10","3","32.3","6","3","19.4","0","3","98.5","0.69"
"Lamar Jackson","BLT","4","119","95","68","1","77.5","869","0","9.6","10","0","0","1","15","10","6","0","10.5","6.3","21","166","1","0","2","4","1","19","1","0","4.8","0","2","95.4","0.8"
"Patrick Mahomes","KC","4","169","142","87","6","72.7","939","0","8.6","7","1","0","1","7","7","5","0","4.9","3.5","22","130","2","0","2","6","2","27.3","1","0","4.5","0","1","88.6","0.52"
"Jalen Hurts","PHI","4","130","101","70","3","78.5","609","0","7.1","5","0","0","0","9","3","2","0","3","2","41","179","4","0","3","12","4","29.3","5","3","12.2","0","1","86.3","0.66"
"Drake Maye","NE","4","152","123","91","2","80.2","988","0","7.2","7","0","0","2","13","9","5","1","7.3","4.1","24","98","2","0","2","4","2","16.7","1","1","4.2","0","0","85.3","0.56"
"Caleb Williams","CHI","4","150","130","81","5","71.7","927","0","8.5","8","1","1","2","7","8","4","1","6.2","3.1","24","110","1","0","2","8","1","33.3","0","0","0","0","1","82.1","0.55"
"Baker Mayfield","TB","4","161","139","83","7","69.2","904","0","9","8","2","2","1","8","7","3","1","5","2.2","14","129","0","0","3","1","0","7.1","0","0","0","0","1","79.1","0.49"
"Daniel Jones","IND","4","133","121","87","4","77.1","1078","1","8.7","4","0","0","2","4","5","1","0","4.1","0.8","18","54","3","0","1","10","3","55.6","4","3","22.2","0","0","78.5","0.59"
"Jordan Love","GB","4","135","121","84","5","81.7","1000","1","8.1","8","0","0","1","8","10","8","0","8.3","6.6","13","62","0","0","1","3","0","23.1","0","0","0","0","0","76.2","0.56"
"Justin Herbert","LAC","4","170","149","95","7","73.4","1063","2","8.6","7","1","1","3","12","9","4","0","6","2.7","19","93","0","0","2","2","0","10.5","0","0","0","1","1","73.8","0.43"
"Matthew Stafford","LA","4","145","136","92","6","76.6","1114","1","8.4","8","2","1","2","8","9","4","0","6.6","2.9","11","-9","0","0","3","3","0","27.3","3","0","27.3","0","0","71.7","0.49"
"Dak Prescott","DAL","4","175","166","121","10","82.4","1119","2","7.8","6","0","0","3","6","15","5","1","9","3","5","22","1","0","1","1","1","20","1","1","20","1","1","71","0.41"
"Jared Goff","DET","4","129","122","90","3","83","929","1","8","9","1","0","2","4","4","4","0","3.3","3.3","6","11","0","0","1","1","0","16.7","0","0","0","0","0","70.3","0.54"
"Bo Nix","DEN","4","152","137","90","6","76.2","861","1","6.9","7","1","1","4","3","9","4","1","6.6","2.9","25","78","1","0","1","4","1","16","1","0","4","0","0","68.2","0.45"
"Justin Fields","NYJ","3","75","60","39","3","77.8","471","0","8.4","2","0","0","0","5","1","1","0","1.7","1.7","24","178","3","1","3","4","2","16.7","2","2","8.3","1","2","62.6","0.83"
"Kyler Murray","ARZ","4","159","130","87","6","77.5","742","0","6.4","6","0","0","3","13","7","4","1","5.4","3.1","25","148","0","0","0","2","0","8","1","0","4","0","0","62.5","0.39"
"Spencer Rattler","NO","4","166","146","98","4","75","765","0","7.6","5","0","0","1","9","13","4","0","8.9","2.7","16","102","0","0","2","3","0","18.8","0","0","0","0","1","58.8","0.35"
"Aaron Rodgers","PIT","4","121","108","74","5","79.8","786","0","5.2","8","1","1","3","9","6","4","1","5.6","3.7","9","11","0","0","1","0","0","0","0","0","0","1","1","58.5","0.48"
"Sam Darnold","SEA","4","110","100","70","2","80.9","905","0","9.5","5","0","0","2","6","4","3","0","4","3","3","38","0","0","2","0","0","0","0","0","0","0","0","56","0.51"
"Bryce Young","CAR","4","158","144","87","8","74.2","753","1","7.1","5","0","0","3","6","10","3","0","6.9","2.1","10","53","1","0","2","2","1","20","1","1","10","0","1","55.4","0.35"
"Geno Smith","LV","4","145","127","81","4","71.4","948","1","9.1","6","1","1","7","12","8","2","1","6.3","1.6","13","66","0","0","0","0","0","0","0","0","0","1","1","54.5","0.38"
"C.J. Stroud","HST","4","139","117","79","1","72.1","832","0","7.6","4","1","1","3","10","6","2","0","5.1","1.7","17","92","0","0","0","1","0","5.9","0","0","0","0","2","52.5","0.38"
"Tua Tagovailoa","MIA","4","132","114","79","3","73.9","752","1","6.6","7","0","0","4","8","7","5","0","6.1","4.4","6","23","0","0","3","0","0","0","0","0","0","1","1","52.4","0.4"
"Michael Penix Jr.","ATL","4","137","125","78","5","70.9","918","1","8","3","1","1","3","5","7","1","0","5.6","0.8","13","31","1","0","1","2","1","15.4","2","1","15.4","0","0","51.8","0.38"
"Trevor Lawrence","JAX","4","154","144","84","13","73.5","845","0","7.9","5","0","0","4","3","8","3","1","5.6","2.1","15","32","0","0","1","1","0","6.7","0","0","0","0","1","49","0.32"
"Russell Wilson","NYG","4","129","111","66","4","75.3","786","1","10.1","3","1","0","3","8","8","3","1","7.2","2.7","16","94","0","0","3","6","0","37.5","0","0","0","0","0","46.8","0.36"
"Jayden Daniels","WAS","2","89","72","43","5","71.6","433","0","8.3","3","0","0","0","7","1","0","0","1.4","0","18","85","0","0","0","2","0","11.1","0","0","0","1","1","37.8","0.42"
"Mac Jones","SF","2","86","80","53","4","79.2","563","0","7.4","4","1","0","1","5","2","2","0","2.5","2.5","7","5","0","0","2","1","0","14.3","0","0","0","0","0","37","0.43"
"Marcus Mariota","WAS","2","54","48","31","1","76.2","363","0","10.5","3","1","0","1","3","4","2","0","8.3","4.2","8","60","1","0","1","2","1","25","2","1","25","1","1","36.5","0.68"
"Carson Wentz","MIN","2","80","66","44","2","76.7","523","1","8.5","4","0","0","2","9","5","2","0","7.6","3","4","16","0","0","1","1","0","25","0","0","0","1","1","34.5","0.43"
"Brock Purdy","SF","2","80","73","48","4","77.6","586","1","7.7","4","0","0","4","2","4","1","0","5.5","1.4","7","30","0","0","1","2","0","28.6","0","0","0","1","1","34.4","0.43"
"Cam Ward","TEN","4","151","125","64","6","64.8","614","0","8.1","2","0","0","2","17","5","2","0","4","1.6","9","42","0","0","2","1","0","11.1","1","0","11.1","0","0","32.8","0.22"
"Joe Flacco","CLV","4","171","160","93","11","73.8","815","0","7.5","2","0","0","6","9","2","2","0","1.3","1.3","6","13","0","0","2","2","0","33.3","2","0","33.3","0","0","29.9","0.17"
"Jake Browning","CIN","3","92","84","54","1","71.4","506","0","7.4","3","1","0","5","7","3","1","0","3.6","1.2","5","8","1","0","0","1","1","20","1","1","20","0","0","29","0.32"
"Tyrod Taylor","NYJ","2","63","47","33","4","86","253","0","5.9","3","0","0","1","6","3","2","0","6.4","4.3","11","69","0","0","1","0","0","0","0","0","0","0","0","27","0.43"
"J.J. McCarthy","MIN","2","55","41","24","3","71.1","301","0","10.3","2","0","0","3","9","2","1","0","4.9","2.4","7","50","1","0","3","1","1","14.3","0","0","0","1","3","25","0.45"
"Jaxson Dart","NYG","3","29","20","13","1","73.7","111","0","7.2","1","0","0","0","5","1","0","0","5","0","12","54","1","0","1","3","1","25","1","0","8.3","0","0","19.8","0.68"
"Joe Burrow","CIN","2","44","36","21","2","67.6","189","0","8.3","2","0","0","0","5","4","2","0","11.1","5.6","2","3","0","0","0","0","0","0","0","0","0","0","0","15.9","0.36"
"Andy Dalton","CAR","2","6","6","5","0","83.3","58","0","7.8","1","0","0","0","0","1","1","0","16.7","16.7","1","-1","0","0","0","0","0","0","0","0","0","0","0","6.2","1.03"
"Dillon Gabriel","CLV","2","4","4","3","0","75","19","0","5.5","1","0","0","0","0","1","1","0","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8","1.2"
"Tyson Bagent","CHI","1","4","3","2","0","66.7","27","0","12","0","0","0","0","0","0","0","0","0","0","2","7","0","0","1","0","0","0","0","0","0","0","0","1.8","0.45"
"Cooper Rush","BLT","2","13","13","9","1","83.3","52","0","3.1","0","0","0","0","0","0","0","0","0","0","3","-4","0","0","0","0","0","0","0","0","0","0","0","1.7","0.13"
"Zach Wilson","MIA","1","9","8","5","0","71.4","32","0","6.9","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","1.6","0.18"
"Kirk Cousins","ATL","1","7","7","5","2","100","29","0","1.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2","0.17"
"Max Brosmer","MIN","1","4","4","2","2","100","29","0","1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2","0.3"
"Mitch Trubisky","BUF","1","2","2","1","0","50","32","0","13.5","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","0","0","0","0","0","0","0","0","1","0.5"
"Drew Lock","SEA","1","3","3","2","0","66.7","15","0","1.3","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","0.5","0.17"
"Mason Rudolph","PIT","1","2","2","2","0","100","12","0","-1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.25"
"Jalen Milroe","SEA","2","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0.4",""
"Jacoby Brissett","ARZ","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0.2",""
"Brett Rypien","CIN","1","1","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Shough","NO","1","2","2","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Richardson","IND","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","4","-1","0","0","0","0","0","0","0","0","0","0","0","-0.1",""
"Joshua Dobbs","NE","1","1","1","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","3","-2","0","0","0","0","0","0","0","0","0","0","0","-0.2","-0.2"
"Kyle Allen","DET","2","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","2","-2","0","0","0","0","0","0","0","0","0","0","0","-0.2",""
"Gardner Minshew","KC","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","2","-3","0","0","0","0","0","0","0","0","0","0","0","-0.3",""
"Joe Milton III","DAL","1","5","5","3","0","60","41","0","14","0","0","0","1","0","2","0","1","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","-0.08"
