"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Drake London","ATL","4","WR","35","24","1","269","1","1","0","0","68.6","9","7.69","11.21","3.08","4","1","1","11.4","4.2","100","3","1","8.6","4.2","100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","56.9","0.24","2.37"
"Brycen Tremayne","CAR","6","WR","11","9","0","108","0","0","0","0","81.8","9","9.82","12","4.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","19.8","0.14","2.2"
"Simi Fehoko","ARZ","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Michael Wilson","ARZ","6","WR","22","12","0","96","0","1","0","1","54.5","13.55","4.36","8","2.17","7","4","1","31.8","33.3","100","1","1","4.5","8.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.6","0.09","2.3"
"Justin Shorter","LV","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jahan Dotson","PHI","6","WR","11","7","1","111","0","0","0","0","63.6","16.91","10.09","15.86","4.29","2","0","0","18.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.1","0.08","2.59"
"Kevin Austin Jr.","NO","1","WR","1","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Rashod Bateman","BLT","6","WR","19","11","0","120","0","1","0","1","57.9","12.79","6.32","10.91","2.18","5","3","1","26.3","27.3","100","1","1","5.3","9.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0.13","2.64"
"Ja'Marr Chase","CIN","6","WR","56","42","1","468","2","4","1","1","75","10.13","8.36","11.14","4.67","11","7","3","19.6","16.7","75","2","2","3.6","4.8","50","2","0","6","0","0","0","3","0.5","0","0","1","0","0","0","0","0","0","0","0","0","0","113.4","0.35","2.58"
"Bryce Oliver","TEN","2","WR","1","1","0","8","0","0","0","0","100","6","8","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8","0.16","1.8"
