"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Tyler Conklin","LAC","3","TE","4","2","0","50","0","0","0","1","50","6.75","12.5","25","11.5","1","1","0","25","50","0","0","0","0","0","0","1","0","2","0","0","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","7.2","0.09","2.4"
"Josh Oliver","MIN","3","TE","2","2","0","17","0","1","0","0","100","1.5","8.5","8.5","7","1","1","1","50","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9.7","0.16","4.85"
"Noah Fant","CIN","3","TE","14","12","0","80","0","1","0","1","85.7","3.21","5.71","6.67","3.42","1","1","1","7.1","8.3","100","1","1","7.1","8.3","100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","26","0.43","2.17"
"Luke Farrell","SF","3","TE","3","3","0","19","0","1","0","0","100","0.33","6.33","6.33","6","1","1","1","33.3","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.9","0.09","3.63"
"John Bates","WAS","2","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Charlie Woerner","ATL","3","TE","1","1","0","-5","0","0","0","0","100","-7","-5","-5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0.5"
"Jack Stoll","NO","3","TE","3","2","0","21","0","1","0","0","66.7","9.67","7","10.5","2","1","1","1","33.3","50","100","1","1","33.3","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1","0.17","5.05"
"T.J. Hockenson","MIN","3","TE","13","9","0","76","0","1","0","0","69.2","7.08","5.85","8.44","3.33","5","4","1","38.5","44.4","100","1","1","7.7","11.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.6","0.19","2.51"
"Kylen Granson","PHI","3","TE","2","2","0","6","0","0","0","0","100","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6","0.05","1.3"
"Feleipe Franks","ATL","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dawson Knox","BUF","3","TE","6","4","0","39","0","0","0","2","66.7","3.67","6.5","9.75","8.25","1","1","0","16.7","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.9","0.07","1.98"
"Will Dissly","LAC","2","TE","2","2","0","25","0","0","0","0","100","4.5","12.5","12.5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5","0.07","2.25"
"Juwan Johnson","NO","3","TE","28","19","0","176","0","1","0","4","67.9","6.36","6.29","9.26","4.58","6","4","1","21.4","21.1","100","2","1","7.1","5.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.6","0.2","2.24"
"Harrison Bryant","HST","2","TE","1","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mo Alie-Cox","IND","3","TE","2","2","0","28","0","0","0","0","100","1","14","14","13","1","1","0","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8","0.06","2.4"
"Eric Saubert","SEA","3","TE","1","1","0","12","0","0","0","0","100","6","12","12","6","1","1","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2","0.04","2.2"
"George Kittle","SF","1","TE","4","4","0","25","0","1","0","0","100","5.25","6.25","6.25","1","2","2","1","50","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.5","0.6","3.13"
"David Njoku","CLV","3","TE","17","12","0","117","0","0","0","0","70.6","6.71","6.88","9.75","5.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.7","0.14","1.97"
"Evan Engram","DEN","2","TE","6","4","0","33","0","0","0","0","66.7","3.33","5.5","8.25","5.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.3","0.14","1.82"
"Tyler Higbee","LA","3","TE","5","4","0","37","0","0","0","0","80","-1.4","7.4","9.25","9.75","1","1","0","20","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.7","0.07","1.93"
"Austin Hooper","NE","3","TE","7","6","0","76","0","0","0","0","85.7","9.14","10.86","12.67","4.83","2","2","0","28.6","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.6","0.13","2.27"
"Hunter Henry","NE","3","TE","20","13","0","165","0","2","0","1","65","10.1","8.25","12.69","3.92","6","4","2","30","30.8","100","2","1","10","7.7","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.5","0.23","3.19"
"Travis Kelce","KC","3","TE","15","10","0","134","0","1","0","2","66.7","6.47","8.93","13.4","8","3","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.4","0.2","2.94"
"Zach Ertz","WAS","3","TE","15","12","0","128","0","2","0","2","80","7.8","8.53","10.67","3.08","2","2","2","13.3","16.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.8","0.27","3.07"
