"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"19","Drake London","ATL","wr","5","12","188.3","0","0","0","0","0","0","0","0","0","112.1315","72.7604","845.9252","5.0701","0","0","0.2824","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Breece Hall","NYJ","rb","9","11","160.3","0","0","0","0","0","0","159.7951","693.9693","4.0618","43.4277","34.4457","255.2662","1.3908","2.5325","1.1557","0.2667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Jayden Daniels","WAS","qb","12","11","215","236.3971","334.6597","2413.6029","16.1724","5.7639","27.9803","90.5284","498.1118","2.2239","0","0","0","0","0","0","1.0477","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Ashton Jeanty","LV","rb","8","11","158.7","0","0","0","0","0","0","182.282","758.4798","4.744","35.1561","29.5272","197.0051","1.1905","2.7836","1.2602","0.2795","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Chuba Hubbard","CAR","rb","14","11","157","0","0","0","0","0","0","180.2921","777.3106","4.5275","35.6283","29.3813","179.7966","1.1133","2.7551","1.2475","0.2668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","D'Andre Swift","CHI","rb","5","12","156.2","0","0","0","0","0","0","160.8601","656.9407","4.5484","44.7183","36.3851","236.3791","0.8402","2.5678","1.1736","0.2642","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Javonte Williams","DAL","rb","10","11","155.9","0","0","0","0","0","0","158.9944","680.4875","5.3695","36.3088","30.493","201.7109","1.099","2.479","1.1274","0.3079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Kyren Williams","LA","rb","8","11","154","0","0","0","0","0","0","177.0721","754.8373","5.6747","26.7477","21.3187","153.8446","1.5874","2.6246","1.1804","0.2787","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Brock Bowers","LV","te","8","11","134","0","0","0","0","0","0","0","0","0","76.5377","58.1756","558.3916","3.269","0","0","0.1767","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Kenneth Walker III","SEA","rb","8","11","149.7","0","0","0","0","0","0","145.4208","620.9229","5.6936","35.2073","29.652","201.0031","0.8723","2.2864","1.0416","0.2782","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Woody Marks","HST","rb","6","12","149.2","0","0","0","0","0","0","148.9841","609.331","3.8713","43.4082","34.527","249.0602","1.2205","2.3871","1.0918","0.257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Tyler Warren","IND","te","11","11","132.2","0","0","0","0","0","0","0","0","0","78.6671","56.9518","532.7585","3.5935","0","0","0.2128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Amon-Ra St. Brown","DET","wr","8","11","173.8","0","0","0","0","0","0","9.1848","57.4522","0.4725","80.3383","65.494","706.0587","4.9117","0.8302","0.4443","0.2758","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Tucker Kraft","GB","te","5","12","131.2","0","0","0","0","0","0","8.6436","51.5289","0.3821","63.7518","48.9287","500.1495","4.1748","0.6443","0.3425","0.2163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Rome Odunze","CHI","wr","5","12","168.4","0","0","0","0","0","0","1.1594","6.416","0.0517","102.7004","60.9332","767.942","5.0024","0.6725","0.3694","0.2429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Jaxon Smith-Njigba","SEA","wr","8","11","165.6","0","0","0","0","0","0","3.3579","18.5853","0.1259","90.1978","64.7815","744.2062","4.0157","0.7437","0.4054","0.266","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Garrett Wilson","NYJ","wr","9","11","164.9","0","0","0","0","0","0","1.4535","8.5589","0.0326","96.8861","66.1667","714.1252","4.4277","0.7329","0.4023","0.269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","T.J. Hockenson","MIN","te","6","12","122.2","0","0","0","0","0","0","0","0","0","76.0968","55.4059","487.8757","2.9495","0","0","0.1716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Tetairoa McMillan","CAR","wr","14","11","164","0","0","0","0","0","0","0","0","0","102.8024","63.203","716.6177","4.7701","0","0","0.2386","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Jordan Love","GB","qb","5","12","194.2","264.0395","376.2705","2805.302","19.9629","8.688","18.8095","30.1709","126.2947","0.7412","0","0","0","0","0","0","1.2182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Patrick Mahomes","KC","qb","10","11","192.7","267.4233","360.8123","2650.7507","18.8352","6.3797","19.3708","31.6818","214.0116","0.1318","0","0","0","0","0","0","0.9505","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Josh Allen","BUF","qb","7","11","192.7","201.9355","284.609","2104.1355","15.2706","5.6744","13.4478","69.8791","315.762","4.2102","0","0","0","0","0","0","0.9937","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Brock Purdy","SF","qb","14","11","191.8","246.6167","343.2936","2858.9084","17.5148","8.1176","22.7448","37.9715","167.7211","0.8279","0","0","0","0","0","0","0.9455","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Quinshon Judkins","CLV","rb","9","11","135.5","0","0","0","0","0","0","160.5428","692.4055","4.7146","27.7665","21.9838","143.9642","0.5571","2.4082","1.086","0.2181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
